offspring,mother,father,prob
335,1222,1287,1
436,500,494,1
439,800,42,0.711
440,NA,2843,0.712
441,NA,2843,0.725
442,NA,2764,0.358
443,NA,2764,0.362
444,464,25,1
445,500,494,0.999
446,233,NA,0.357
447,NA,NA,0.513
448,NA,NA,0.525
449,207,65,1
450,800,NA,0.532
451,799,NA,0.453
452,430,NA,0.549
453,NA,51,1
454,NA,2756,0.404
455,NA,215,0.422
456,NA,173,0.428
457,NA,NA,0.257
458,171,170,0.544
459,207,65,1
460,462,77,0.629
461,NA,77,0.798
462,NA,65,1
464,NA,216,0.916
465,NA,77,0.794
466,213,77,0.454
467,NA,176,0.954
468,NA,176,1
469,NA,176,0.999
470,237,NA,0.537
471,237,NA,0.466
472,78,NA,0.552
473,NA,73,0.572
474,168,73,0.577
475,168,73,0.552
476,NA,77,0.649
477,NA,77,0.781
478,NA,73,0.511
479,NA,73,0.542
495,NA,NA,0.396
496,NA,446,0.876
497,443,NA,0.498
498,189,NA,0.418
499,NA,21,0.594
500,799,NA,0.395
501,594,29,1
502,297,478,0.997
503,NA,54,0.567
504,2749,NA,0.563
505,2845,75,0.949
506,2845,75,0.92
507,294,NA,0.334
508,NA,331,0.989
509,329,NA,0.428
510,462,465,0.996
511,NA,NA,0.494
512,NA,216,0.991
521,628,498,0.875
522,NA,33,0.572
523,NA,33,0.377
524,NA,33,0.597
525,NA,NA,0.491
526,528,178,1
527,64,178,1
528,64,178,1
529,NA,NA,0.47
530,NA,NA,0.428
531,NA,73,0.655
539,NA,478,0.985
540,NA,446,0.536
541,NA,22,0.437
542,NA,208,1
543,NA,NA,0.652
544,NA,478,0.756
545,NA,NA,0.543
546,NA,NA,0.588
547,NA,NA,0.626
548,NA,NA,0.636
549,82,331,0.911
550,82,51,0.747
551,NA,NA,0.374
552,NA,478,0.739
553,NA,NA,0.516
554,199,221,1
555,79,NA,0.322
556,NA,77,0.52
557,NA,448,0.883
558,430,51,1
559,NA,331,0.998
560,NA,65,0.739
561,NA,NA,0.613
562,1859,1686,1
563,508,602,1
594,189,75,0.919
595,NA,473,0.56
596,297,478,1
597,NA,293,0.592
598,800,NA,0.398
599,297,298,1
600,294,NA,0.334
601,294,25,0.663
602,NA,75,0.998
603,NA,51,0.987
604,NA,NA,0.571
605,213,176,0.831
606,294,NA,0.33
607,NA,176,0.999
608,163,448,0.997
609,NA,NA,0.441
627,792,494,0.606
628,NA,42,0.327
629,NA,298,0.976
630,NA,438,0.386
631,297,298,1
632,NA,NA,0.327
633,NA,73,0.679
634,NA,33,0.65
635,NA,NA,0.465
636,NA,NA,0.557
637,NA,NA,0.635
638,NA,73,0.673
639,543,673,0.967
640,447,448,1
641,NA,NA,0.651
642,NA,73,0.647
663,213,331,0.942
664,464,448,0.984
665,NA,178,0.957
666,NA,NA,0.626
667,530,637,1
668,NA,544,1
669,NA,NA,0.632
670,71,NA,0.59
671,71,208,0.938
672,NA,478,0.467
673,NA,208,0.842
674,NA,NA,0.609
675,82,NA,0.526
676,NA,NA,0.571
677,NA,NA,0.594
678,NA,208,0.784
679,NA,465,0.995
680,217,331,0.611
681,NA,NA,0.461
774,NA,525,0.869
775,NA,NA,0.666
776,461,632,0.799
823,NA,1686,0.443
824,NA,633,1
825,NA,1862,0.667
826,NA,21,1
827,213,176,0.937
828,466,51,1
830,522,NA,0.6
831,461,NA,0.485
832,NA,NA,0.586
833,297,478,0.988
834,168,632,1
835,451,446,0.617
836,171,54,0.497
837,500,494,1
838,297,478,1
839,502,215,1
840,428,75,0.88
841,454,221,0.999
842,794,609,1
843,NA,NA,0.478
844,671,208,0.999
845,440,NA,0.621
846,NA,545,0.631
847,NA,545,0.766
848,464,65,1
849,NA,540,0.929
850,163,510,0.727
