offspring,mother,father,prob,SexEstimate,LayYear,MumLayYear,DadLayYear
335,1222,,0.9991,1,2003,1997,
526,528,178,0.998,1,1994,1993,1988
631,297,298,0.9999,1,1994,1988,1988
833,297,,0.9983,0,1994,1988,
837,500,494,0.9991,1,1994,1991,1990
841,454,221,0.9947,0,1995,1992,1988
842,794,609,0.9997,1,1994,1982,1993
844,671,,0.9998,0,1994,1993,
848,464,,0.9944,0,1994,1992,
850,163,510,0.9712,0,1994,1987,1993
861,505,,0.9007,0,1995,1993,
867,823,562,0.9401,1,1995,1994,1993
869,561,467,0.9996,0,1995,1993,1992
874,596,497,0.9999,0,1995,1993,1993
875,207,65,1,0,1995,1988,1987
880,443,200,0.9634,0,1995,1992,1988
884,469,,0.9989,1,1995,1992,
885,172,1861,0.9979,0,1995,1989,1994
886,502,215,0.9976,1,1995,1993,1988
887,171,877,0.9999,1,1995,1988,1994
888,441,,0.9982,1,1995,1992,
889,442,609,0.9997,1,1995,1992,1993
892,627,,0.9997,1,1995,1994,
913,443,200,0.9972,0,1994,1992,1988
915,444,293,0.9998,0,1994,1992,1988
918,171,,1,0,1994,1988,
921,459,465,0.9988,1,1994,1992,1992
929,199,,0.9619,1,1994,1986,
931,454,,0.9999,0,1994,1992,
932,308,216,0.9642,0,1994,1990,1988
943,464,,0.9906,1,1995,1992,
944,524,,0.9592,1,1995,1993,
945,168,831,0.9853,0,1995,1989,1994
946,474,,0.9802,1,1995,1992,
948,500,494,0.9999,0,1995,1991,1990
949,524,,0.9996,0,1995,1993,
950,217,,1,0,1995,1988,
1016,823,562,0.9999,1,1996,1994,1993
1025,308,216,0.9996,1,1995,1990,1988
1026,608,510,0.9949,0,1996,1993,1993
1027,459,,0.9929,1,1995,1992,
1029,217,836,0.9998,1,1996,1988,1994
1030,459,947,0.9991,1,1996,1992,1994
1031,168,,0.9939,1,1996,1989,
1032,827,,0.9952,1,1996,1994,
1033,297,,0.9957,0,1996,1988,
1034,912,922,0.9964,1,1996,1994,1994
1038,561,467,0.9895,0,1996,1993,1992
1042,1043,559,0.9864,0,1996,1995,1993
1044,524,634,0.9376,0,1996,1993,1993
1045,503,470,0.9968,1,1996,1993,1992
1047,628,1037,0.9991,1,1996,1993,1995
1048,444,,0.9954,0,1996,1992,
1049,500,494,1,0,1996,1991,1990
1050,853,865,0.9999,0,1996,1994,1994
1051,858,857,1,0,1996,1994,1994
1053,199,609,0.9988,1,1996,1986,1993
1054,458,499,0.9989,0,1996,1992,1993
1056,641,637,0.9973,1,1996,1993,1993
1057,675,,0.9998,1,1996,1993,
1059,872,,0.9955,0,1996,1994,
1061,595,,0.9984,1,1996,1993,
1062,835,860,0.9993,1,1996,1994,1994
1063,528,178,0.9997,1,1996,1993,1988
1130,163,510,0.996,0,,1987,1993
1152,199,609,0.9999,0,1997,1986,1993
1156,454,,0.9772,1,1996,1992,
1162,500,494,0.9994,1,1996,1991,1990
1163,912,922,0.9894,1,1996,1994,1994
1168,938,550,1,1,1996,1994,1993
1170,915,941,1,0,1997,1994,1994
1175,641,637,1,0,1996,1993,1993
1179,297,,0.9982,1,1997,1988,
1181,1182,851,0.995,1,1997,1996,1994
1187,596,497,1,1,1996,1993,1993
1188,878,879,0.9991,1,1996,1994,1994
1200,878,,0.9978,0,1996,1994,
1201,543,540,0.9997,0,1996,1993,1993
1202,469,,0.9998,1,1997,1992,
1208,845,,0.997,0,1997,1994,
1209,458,,1,1,1997,1992,
1210,930,,0.9999,0,1997,1994,
1213,455,1212,1,1,1997,1992,1996
1214,503,470,0.9997,1,1997,1993,1992
1215,1043,559,0.9991,1,1997,1995,1993
1216,308,216,0.9972,0,1997,1990,1988
1217,531,,0.9997,1,1996,1993,
1219,458,,0.9912,0,1996,1992,
1220,524,634,0.9899,1,1997,1993,1993
1222,927,501,0.9997,0,1997,1994,1994
1223,1043,,0.9896,1,1998,1995,
1225,635,636,1,0,1997,1993,1993
1226,3134,1062,0.8495,1,1997,1996,1996
1227,880,436,0.9837,0,1997,1995,1992
1228,826,1212,1,0,1997,1994,1996
1229,500,494,0.9997,1,1998,1991,1990
1230,469,,0.996,0,1997,1992,
1231,915,941,0.999,0,1997,1994,1994
1233,666,916,0.9994,1,1997,1993,1994
1234,168,,0.9856,1,1997,1989,
1236,912,922,0.999,1,1997,1994,1994
1237,561,,0.9999,1,1997,1993,
1238,479,866,1,1,1997,1992,1994
1239,442,,0.9932,0,1997,1992,
1241,641,637,0.9999,1,1997,1993,1993
1244,3134,,0.9273,0,1997,1996,
1245,774,,1,1,1998,1994,
1248,912,922,0.9999,1,1998,1994,1994
1262,474,884,1,1,1997,1992,1995
1267,297,1862,0.9993,1,1997,1988,1990
1275,608,510,0.9979,0,1998,1993,1993
