offspring,mother,father,prob
335,1222,NA,0.9991
526,528,178,0.998
631,297,298,0.9999
833,297,NA,0.9983
837,500,494,0.9991
841,454,221,0.9947
842,794,609,0.9997
844,671,NA,0.9998
848,464,NA,0.9944
850,163,510,0.9712
861,505,NA,0.9007
867,823,562,0.9401
869,561,467,0.9996
874,596,497,0.9999
875,207,65,1
880,443,200,0.9634
884,469,NA,0.9989
885,172,1861,0.9979
886,502,215,0.9976
887,171,877,0.9999
888,441,NA,0.9982
889,442,609,0.9997
892,627,NA,0.9997
913,443,200,0.9972
915,444,293,0.9998
918,171,NA,1
921,459,465,0.9988
929,199,NA,0.9619
931,454,NA,0.9999
932,308,216,0.9642
943,464,NA,0.9906
944,524,NA,0.9592
945,168,831,0.9853
946,474,NA,0.9802
948,500,494,0.9999
949,524,NA,0.9996
950,217,NA,1
1016,823,562,0.9999
1025,308,216,0.9996
1026,608,510,0.9949
1027,459,NA,0.9929
1029,217,836,0.9998
1030,459,947,0.9991
1031,168,NA,0.9939
1032,827,NA,0.9952
1033,297,NA,0.9957
1034,912,922,0.9964
1038,561,467,0.9895
1042,1043,559,0.9864
1044,524,634,0.9376
1045,503,470,0.9968
1047,628,1037,0.9991
1048,444,NA,0.9954
1049,500,494,1
1050,853,865,0.9999
1051,858,857,1
1053,199,609,0.9988
1054,458,499,0.9989
1056,641,637,0.9973
1057,675,NA,0.9998
1059,872,NA,0.9955
1061,595,NA,0.9984
1062,835,860,0.9993
1063,528,178,0.9997
1130,163,510,0.996
1152,199,609,0.9999
1156,454,NA,0.9772
1162,500,494,0.9994
1163,912,922,0.9894
1168,938,550,1
1170,915,941,1
1175,641,637,1
1179,297,NA,0.9982
1181,1182,851,0.995
1187,596,497,1
1188,878,879,0.9991
1200,878,NA,0.9978
1201,543,540,0.9997
1202,469,NA,0.9998
1208,845,NA,0.997
1209,458,NA,1
1210,930,NA,0.9999
1213,455,1212,1
1214,503,470,0.9997
1215,1043,559,0.9991
1216,308,216,0.9972
1217,531,NA,0.9997
1219,458,NA,0.9912
1220,524,634,0.9899
1222,927,501,0.9997
1223,1043,NA,0.9896
1225,635,636,1
1226,3134,1062,0.8495
1227,880,436,0.9837
1228,826,1212,1
1229,500,494,0.9997
1230,469,NA,0.996
1231,915,941,0.999
1233,666,916,0.9994
1234,168,NA,0.9856
1236,912,922,0.999
1237,561,NA,0.9999
1238,479,866,1
1239,442,NA,0.9932
1241,641,637,0.9999
1244,3134,NA,0.9273
1245,774,NA,1
1248,912,922,0.9999
1262,474,884,1
1267,297,1862,0.9993
1275,608,510,0.9979
1277,949,557,0.9997
1278,171,NA,1
1279,522,NA,0.9988
1286,825,NA,0.998
1287,441,1165,0.9983
1288,635,636,0.9996
1290,862,NA,0.8867
1291,528,178,0.9976
1294,1173,1041,0.9992
1295,1403,849,0.9977
1296,670,1211,1
1297,1017,1018,1
1298,1049,NA,1
1300,1299,NA,1
1301,530,637,1
1302,641,637,1
1304,677,550,0.9956
1306,561,NA,0.9999
1345,3134,NA,0.9271
1347,3134,NA,0.9307
1348,930,NA,1
1349,596,1391,0.8934
1355,3134,NA,0.9288
1356,3134,NA,0.9326
1357,853,865,1
1358,1019,NA,0.8035
1359,444,1166,0.9997
1360,3134,NA,0.9323
1361,628,NA,0.9998
1362,199,609,0.9998
1363,1049,776,0.9999
1364,1173,NA,0.9975
1365,869,453,0.9993
1366,1158,NA,0.9681
1367,912,922,0.997
1368,932,216,0.9976
1369,459,947,1
1371,3134,1156,0.8902
1380,3134,NA,0.9301
1382,3134,NA,0.8795
1383,604,NA,0.9945
1385,604,NA,0.8314
1387,308,NA,0.9999
1388,1386,1274,0.9949
1389,457,868,0.9994
1391,596,NA,0.9989
1392,3134,NA,0.9276
1393,1345,NA,0.9984
1394,832,NA,1
1396,469,1202,0.8671
1397,1347,494,0.9987
1398,845,674,1
1399,845,674,1
1400,1401,NA,0.9998
1402,1186,NA,0.9993
1404,454,221,1
1405,859,929,1
1406,1403,849,0.9724
1407,1026,1032,1
1408,1017,1018,1
1409,840,597,1
1410,502,215,0.9995
1411,169,890,0.802
1413,927,501,1
1414,447,1203,1
1415,441,1165,0.9554
1417,825,NA,0.9747
1418,912,922,0.9993
1419,912,922,0.9998
1420,1347,494,0.9539
1421,1345,NA,0.9997
1422,1049,NA,0.9926
1423,447,1203,0.9999
1425,1403,849,0.9994
1426,522,1360,0.9998
1427,862,NA,0.9854
1428,524,NA,0.9938
1429,915,847,0.9999
1431,561,467,1
1432,504,44,0.9984
1433,1222,501,0.9064
1434,880,NA,0.9973
1435,853,865,1
1436,524,NA,0.995
1437,479,NA,0.8818
1438,1155,1154,1
1439,932,NA,0.892
1440,1177,NA,0.932
1441,915,1412,0.9994
1486,601,506,0.9999
1487,914,1040,0.9908
1488,628,1215,1
1489,1042,NA,0.9989
1491,169,890,0.854
1492,542,544,1
1493,835,1031,1
1494,845,1276,1
1495,1200,1156,1
1496,1160,1047,1
1497,1304,668,0.9985
1498,666,NA,0.9999
1499,670,1381,0.9817
1500,442,609,0.9997
1501,826,NA,0.9919
1502,1517,NA,0.9891
1503,1186,1184,0.9999
1504,1404,NA,0.9993
1506,1200,1156,0.9995
1507,1271,NA,0.9301
1508,168,1045,1
1509,925,1287,1
1510,1247,1020,0.9997
1511,840,597,1
1512,951,1196,1
1513,1244,NA,0.9996
1514,1059,NA,0.9995
1515,444,1166,1
1516,1437,1279,0.9992
1518,1401,1185,1
1519,912,922,0.9998
1520,502,NA,0.8785
1521,826,1213,0.9977
1522,1409,1209,1
1523,949,557,1
1524,938,NA,1
1525,1432,NA,0.991
1526,504,1187,0.9875
1529,1403,849,0.9996
1530,1410,436,1
1531,949,557,1
1532,596,NA,0.9999
1533,677,NA,0.9998
1535,168,NA,0.9993
1536,1017,1018,1
1537,825,1286,0.997
1538,459,NA,0.9973
1539,459,NA,0.9999
1541,459,1290,1
1543,199,609,0.9997
1545,1432,1187,0.9997
1547,1024,676,0.9998
1548,1024,676,1
1549,1042,176,1
1551,869,NA,1
1552,1369,1032,1
1555,199,609,0.9991
1556,1369,1032,1
1557,604,921,1
1558,466,51,1
1559,458,499,1
1560,823,NA,0.9987
1561,1386,NA,0.994
1562,522,NA,1
1563,450,NA,0.9997
1564,297,NA,0.8897
1565,1160,NA,0.9899
1566,1160,NA,1
1568,663,NA,0.9999
1570,627,NA,1
1571,1042,176,0.9996
1574,308,NA,0.9949
1575,1186,NA,0.9992
1582,1161,NA,0.9984
1583,951,1196,0.9979
1585,595,495,0.9986
1586,503,1214,0.9999
1590,826,NA,0.9678
1594,1415,1165,1
1596,168,1045,1
1599,1501,890,0.9961
1600,524,NA,0.9974
1601,925,1287,1
1602,912,NA,0.9929
1613,845,1276,0.9999
1618,832,NA,0.9996
1619,1436,NA,0.9999
1620,823,1268,0.9998
1621,1017,1018,0.9998
1622,1193,NA,0.9728
1661,840,NA,0.9576
1663,1490,1031,1
1664,1490,1031,1
1668,1541,NA,0.9421
1671,459,1670,1
1673,1409,NA,0.9944
1674,1573,NA,0.8148
1678,1588,1581,0.9939
1679,1588,1581,0.9987
1680,845,1276,0.9994
1681,845,1276,1
1684,1222,NA,0.9959
1685,1049,NA,0.9554
1698,1552,1504,0.9993
1699,1552,1504,0.9823
1701,595,NA,0.9925
1703,1244,1213,0.9708
1704,951,1196,0.9997
1705,912,1348,0.9995
1706,1186,NA,1
1708,1438,NA,0.9995
1709,1049,1608,0.9997
1710,524,NA,0.9991
1711,1158,NA,1
1713,1672,1533,1
1715,1043,NA,0.9904
1716,1043,NA,0.8934
1723,1550,NA,1
1733,840,NA,0.999
1737,1598,NA,0.9995
1738,862,1579,0.8991
1740,840,NA,0.999
1741,1559,NA,0.9998
1742,1510,NA,0.995
1743,1415,1666,0.9916
1746,869,NA,0.9747
1747,826,1590,0.9999
1749,1674,1029,1
1751,1429,NA,0.8898
1752,1200,1553,0.9995
1755,1247,1020,0.9953
1758,1757,1523,0.9995
1762,927,501,0.9984
1764,1222,1684,1
1766,1415,1666,0.9999
1767,930,1485,1
1768,1361,NA,0.9943
1769,1024,NA,0.9955
1770,1024,NA,0.9962
1776,1510,NA,0.9989
1777,1017,1018,1
1778,951,1196,0.9995
1783,1305,1595,1
1785,1155,453,0.9988
1788,1401,1551,1
1790,1403,NA,0.8464
1793,1275,NA,0.8948
1798,1588,1581,0.9999
1799,869,1682,1
1801,845,1276,1
1803,1580,1040,0.9999
1804,1532,911,1
1805,1193,1590,0.9986
1807,1271,1593,0.9972
1808,1403,849,0.9999
1819,1355,1802,0.9977
1820,1700,1221,1
1825,1506,NA,0.9519
1826,1536,1787,0.9998
1828,1508,1754,0.9996
1829,1190,1489,1
1830,1271,NA,0.9997
1831,1757,1523,0.9999
1833,1559,NA,1
1843,1490,NA,0.9998
1846,1244,NA,0.9997
1847,1763,1287,1
1848,1059,NA,0.9976
1849,601,506,0.9989
1850,601,506,1
1851,1195,NA,0.9887
1852,1247,NA,0.9978
1853,1771,1187,1
1854,1771,1187,1
1855,442,1543,0.9973
1856,1753,1349,1
1857,1753,1349,1
1858,825,1611,1
1864,1503,NA,0.9999
1865,458,NA,0.9555
1867,1674,1029,1
1868,1384,NA,1
1869,832,1604,0.9998
1870,1892,NA,0.9674
1873,1550,NA,0.9997
1874,1669,1213,0.9996
1878,862,NA,0.9966
1879,1501,1606,0.9996
1883,1275,1587,0.9885
1884,1580,NA,0.8391
1885,1024,1770,0.9399
1887,1429,NA,0.9951
1891,1541,NA,0.9702
1894,503,1214,1
1895,912,1348,1
1896,1305,1595,0.9999
1897,927,501,1
2960,1369,1744,0.9989
2962,1763,1287,1
2963,1672,1533,0.9998
2965,1559,NA,0.9755
2966,1605,497,0.9742
2968,459,NA,0.9965
2969,1781,NA,0.8164
2971,1612,1199,0.9993
2974,1716,1769,0.9742
2975,1532,911,0.9965
2979,1674,NA,0.9941
2980,1758,NA,0.8574
2982,1491,NA,0.9505
2983,1672,1533,0.9999
2985,1765,921,1
2986,869,453,0.9954
2988,930,1485,0.9976
2990,1042,NA,0.9944
2991,832,NA,0.9999
3001,1725,1610,0.984
3002,1782,1495,0.9999
3003,1852,NA,0.9794
3004,1193,1590,0.9945
3005,1437,NA,0.9676
3006,1170,NA,0.9963
3008,1605,497,0.9957
3009,1705,1750,0.9999
3010,1740,1729,1
3011,1401,1788,0.9999
3012,1247,335,0.9975
3013,595,1499,0.9826
3014,503,1214,0.9977
3015,1510,1723,0.9999
3016,1589,NA,0.9973
3017,1415,1666,0.9848
3018,1854,1029,1
3019,1042,NA,0.9901
3020,1772,1729,0.9995
3021,1558,1699,0.9998
3023,1605,NA,0.9139
3024,1791,1509,1
3085,1763,1287,0.9998
3087,1753,1775,0.9999
3088,1429,1886,1
3089,1617,NA,0.9536
3090,1673,NA,0.9779
3091,1665,1623,0.9997
3092,1892,1356,0.9238
3093,1852,1358,0.9999
3094,1891,NA,0.9508
3444,1764,1711,1
3445,1605,497,0.9999
3446,2982,NA,0.9256
3447,1501,NA,0.9771
3448,2984,501,1
3450,1506,1720,1
3451,2987,1739,0.9223
3452,1361,NA,0.9976
3453,2959,NA,0.917
3455,1697,1796,0.9991
3456,1580,NA,0.9814
3457,1717,1797,0.8905
3459,1275,NA,1
3460,1725,NA,0.8642
3461,1403,NA,0.913
3463,1778,1607,0.9966
3464,1778,1607,0.998
3486,1705,NA,0.9892
3489,1503,NA,1
3490,1501,NA,0.9923
3491,1605,497,0.9984
3497,1705,1750,0.9995
3498,2985,1752,1
3499,1716,2976,0.9999
3501,1437,NA,0.999
3502,1895,1754,0.9999
3503,1536,1787,0.9997
3504,930,1485,0.9989
3505,1580,1040,0.9992
3506,1559,NA,0.9999
3508,1597,1794,1
3510,1415,NA,0.9013
3511,1195,NA,0.9764
3513,1042,3019,0.9001
3514,1821,1504,0.9992
3515,1369,1744,0.8671
3516,1790,1731,1
3517,1828,1848,0.9989
3520,1388,1611,0.9984
3521,1415,NA,0.9821
3564,1685,1608,0.9993
3565,1782,1881,0.9983
3567,1757,1523,0.988
3568,1782,1881,1
3569,3085,1287,0.8099
3572,1506,1720,0.9999
3575,1824,1795,1
3576,1864,NA,0.9996
3577,3022,1829,0.9998
3578,1685,1608,1
3579,1536,NA,0.9995
3580,1854,1029,1
3581,1200,1553,0.9998
3590,2963,NA,0.9996
3591,1532,911,0.9201
3592,2963,NA,0.9998
3593,1893,NA,0.9991
3594,1740,1187,1
3595,1893,NA,0.9973
3596,1401,1877,0.9992
3597,1170,3089,0.9825
3598,1438,1708,0.9994
3599,1697,1796,0.9867
3600,1760,1829,0.9999
3602,1193,1590,0.9983
3603,1559,2960,0.9962
3604,1725,NA,0.9883
3605,1195,1871,0.9999
3606,3003,NA,0.9787
3607,2984,2960,0.9989
3608,1705,1750,0.9998
3611,3508,NA,0.9999
3612,3009,1742,0.9997
3613,3508,NA,0.9996
3614,1757,NA,0.9933
3615,1857,1606,1
