mother,offspring,father,prob,LayYear,MumLayYear,DadLayYear
1222,335,1287,1,2003,1997,2003
500,436,494,1,1992,1991,1992
800,439,42,0.711,1992,1983,1992
464,444,25,1,1992,1992,1992
500,445,494,0.999,1992,1991,1992
233,446,,0.357,,1988,
207,449,65,1,,1988,
800,450,,0.532,1992,1983,1992
799,451,,0.453,,1982,
430,452,,0.549,1992,1984,1992
171,458,170,0.544,1992,1988,1992
207,459,65,1,1992,1988,1992
462,460,77,0.629,1992,1992,1992
213,466,77,0.454,,1988,
237,470,,0.537,1992,1988,1992
237,471,,0.466,1992,1988,1992
78,472,,0.552,1992,1987,1992
168,474,73,0.577,1992,1989,1992
168,475,73,0.552,,1989,
443,497,,0.498,1993,1992,1993
189,498,,0.418,1993,1988,1993
799,500,,0.395,1991,1982,1991
594,501,29,1,1994,1993,1994
297,502,478,0.997,1993,1988,1993
2749,504,,0.563,1993,1980,1993
2845,505,75,0.949,1993,1990,1993
2845,506,75,0.92,1993,1990,1993
294,507,,0.334,1993,1988,1993
329,509,,0.428,1993,1988,1993
462,510,465,0.996,1993,1992,1993
628,521,498,0.875,1994,1993,1994
528,526,178,1,1994,1993,1994
64,527,178,1,1994,1987,1994
64,528,178,1,1993,1987,1993
82,549,331,0.911,1993,1987,1993
82,550,51,0.747,1993,1987,1993
199,554,221,1,1993,1986,1993
79,555,,0.322,1993,1987,1993
430,558,51,1,1993,1984,1993
1859,562,1686,1,1993,1988,1993
508,563,602,1,1994,1993,1994
189,594,75,0.919,1993,1988,1993
297,596,478,1,1993,1988,1993
800,598,,0.398,1993,1983,1993
297,599,298,1,1993,1988,1993
294,600,,0.334,1993,1988,1993
294,601,25,0.663,1993,1988,1993
213,605,176,0.831,1993,1988,1993
294,606,,0.33,1993,1988,1993
163,608,448,0.997,1993,1987,1993
792,627,494,0.606,1994,1982,1994
297,631,298,1,1994,1988,1994
543,639,673,0.967,1994,1993,1994
447,640,448,1,1993,1992,1993
213,663,331,0.942,1993,1988,1993
464,664,448,0.984,1993,1992,1993
530,667,637,1,1994,1993,1994
71,670,,0.59,1993,1987,1993
71,671,208,0.938,1993,1987,1993
82,675,,0.526,1993,1987,1993
217,680,331,0.611,1993,1988,1993
461,776,632,0.799,1994,1992,1994
213,827,176,0.937,1994,1988,1994
466,828,51,1,1994,,1994
522,830,,0.6,1994,1993,1994
461,831,,0.485,1994,1992,1994
297,833,478,0.988,1994,1988,1994
168,834,632,1,1994,1989,1994
451,835,446,0.617,1994,,1994
171,836,54,0.497,1994,1988,1994
500,837,494,1,1994,1991,1994
297,838,478,1,1994,1988,1994
502,839,215,1,1995,1993,1995
428,840,75,0.88,1994,1977,1994
454,841,221,0.999,1995,1992,1995
794,842,609,1,1994,1982,1994
671,844,208,0.999,1994,1993,1994
440,845,,0.621,1994,1992,1994
464,848,65,1,1994,1992,1994
163,850,510,0.727,1994,1987,1994
1017,853,,0.487,1994,1992,1994
561,854,,0.671,1994,1993,1994
297,855,,0.563,1994,1988,1994
531,857,,0.655,1994,1993,1994
505,861,470,1,1995,1993,1995
543,862,545,1,1994,1993,1994
450,863,21,0.959,1994,1992,1994
823,867,562,0.998,1995,1994,1995
169,868,507,0.928,1995,1988,1995
561,869,467,1,1995,1993,1995
628,871,,0.586,1995,1993,1995
596,874,497,1,1995,1993,1995
207,875,65,1,1995,1988,1995
447,879,51,0.999,1994,1992,1994
443,880,200,1,1995,1992,1995
469,884,467,0.998,1995,1992,1995
172,885,1861,1,1995,1989,1995
502,886,215,1,1995,1993,1995
171,887,877,1,1995,1988,1995
441,888,860,0.996,1995,1992,1995
442,889,609,1,1995,1992,1995
199,890,609,0.994,1995,1986,1995
163,891,510,0.969,1995,1987,1995
627,892,549,1,1995,1994,1995
594,911,29,1,1994,1993,1994
64,912,178,1,1994,1987,1994
443,913,200,1,1994,1992,1994
1859,914,609,0.868,1994,1988,1994
444,915,293,0.998,1994,1992,1994
468,916,465,0.994,1994,1992,1994
469,917,453,0.978,1994,1992,1994
171,918,602,0.999,1994,1988,1994
163,919,510,0.986,1994,1987,1994
213,920,176,0.953,1994,1988,1994
459,921,465,1,1994,1992,1994
440,923,44,0.999,1994,1992,1994
792,924,494,0.999,1994,1982,1994
598,925,,0.486,1994,1993,1994
172,928,,0.693,1994,1989,1994
199,929,609,1,1994,1986,1994
454,931,609,0.999,1994,1992,1994
308,932,216,1,1994,1990,1994
677,937,673,1,1994,1993,1994
163,938,510,0.9,1994,1987,1994
464,939,603,0.363,1994,1992,1994
543,941,540,1,1994,1993,1994
663,942,,0.794,1994,1993,1994
464,943,,0.651,1995,1992,1995
524,944,856,0.996,1995,1993,1995
168,945,831,1,1995,1989,1995
474,946,857,0.994,1995,1992,1995
560,947,,0.737,1994,1993,1994
500,948,494,1,1995,1991,1995
524,949,856,1,1995,1993,1995
217,950,293,1,1995,1988,1995
457,951,507,1,1995,1992,1995
832,1015,830,0.999,1995,1994,1995
823,1016,562,1,1996,1994,1996
34,1017,,0.333,1992,1984,1992
853,1018,1862,1,1995,1994,1995
441,1020,436,0.999,1995,1992,1995
840,1021,75,0.975,1995,1994,1995
511,1023,51,1,1995,1993,1995
454,1024,507,1,1995,1992,1995
308,1025,216,1,1995,1990,1995
608,1026,510,1,1996,1993,1996
459,1027,176,1,1995,1992,1995
543,1028,545,0.993,1995,1993,1995
217,1029,836,1,1996,1988,1996
459,1030,947,1,1996,1992,1996
168,1031,605,0.991,1996,1989,1996
827,1032,606,1,1996,1994,1996
297,1033,1862,1,1996,1988,1996
912,1034,922,1,1996,1994,1996
542,1036,673,1,1995,1993,1995
521,1037,881,0.499,1995,1994,1995
561,1038,467,1,1996,1993,1996
1017,1040,507,0.437,1995,1992,1995
1043,1042,559,0.967,1996,1995,1996
524,1044,634,0.999,1996,1993,1996
503,1045,470,1,1996,1993,1996
1017,1046,605,0.968,1996,1992,1996
521,1047,1037,0.755,1996,1994,1996
444,1048,42,1,1996,1992,1996
500,1049,494,1,1996,1991,1996
853,1050,865,1,1996,1994,1996
858,1051,857,1,1996,1994,1996
794,1052,549,0.911,1996,1982,1996
199,1053,609,0.999,1996,1986,1996
458,1054,499,1,1996,1992,1996
930,1055,,0.682,1995,1994,1995
641,1056,637,0.999,1996,1993,1996
675,1057,549,0.996,1996,1993,1996
449,1058,947,0.999,1996,,1996
872,1059,602,0.86,1996,1994,1996
675,1060,549,0.947,1996,1993,1996
595,1061,215,0.998,1996,1993,1996
835,1062,860,0.999,1996,1994,1996
528,1063,178,0.992,1996,1993,1996
163,1130,510,1,,1987,
542,1151,547,1,1996,1993,1996
199,1152,609,0.999,1997,1986,1997
508,1153,467,0.998,1996,1993,1996
855,1154,877,0.99,1996,1994,1996
508,1155,,0.636,1996,1993,1996
454,1156,216,0.999,1996,1992,1996
454,1157,221,1,1996,1992,1996
297,1159,634,0.997,1996,1988,1996
450,1160,629,1,1996,1992,1996
308,1161,216,1,1996,1990,1996
500,1162,494,1,1996,1991,1996
912,1163,922,1,1996,1994,1996
502,1164,293,0.999,1996,1993,1996
924,1165,220,1,1996,1994,1996
450,1167,629,1,1996,1992,1996
938,1168,550,1,1996,1994,1996
558,1169,557,1,1997,1993,1997
915,1170,941,1,1997,1994,1997
542,1171,547,0.999,1996,1993,1996
543,1172,540,1,1996,1993,1996
677,1173,673,0.997,1996,1993,1996
531,1174,776,0.949,1996,1993,1996
641,1175,637,1,1996,1993,1996
774,1176,633,0.999,1996,1994,1996
297,1179,836,1,1997,1988,1997
938,1180,547,0.973,1996,1994,1996
1182,1181,851,1,1997,1996,1997
461,1182,,0.655,1996,1992,1996
774,1183,864,1,1996,1994,1996
604,1184,1039,0.579,1996,1993,1996
862,1185,854,0.993,1996,1994,1996
604,1186,603,0.992,1996,1993,1996
596,1187,497,1,1996,1993,1996
878,1188,879,1,1996,1994,1996
942,1190,331,0.996,1996,1994,1996
508,1192,,0.624,1996,1993,1996
541,1193,,0.626,1996,1993,1996
522,1196,1015,1,1996,1993,1996
675,1197,846,1,1996,1993,1996
862,1199,854,0.992,1996,1994,1996
878,1200,453,0.998,1996,1994,1996
543,1201,540,0.964,1996,1993,1996
469,1202,467,1,1997,1992,1997
466,1203,51,0.999,1996,,1996
876,1204,824,0.487,1996,1995,1996
628,1207,1041,0.921,1997,1993,1997
845,1208,941,0.916,1997,1994,1997
458,1209,867,1,1997,1992,1997
930,1210,867,0.997,1997,1994,1997
455,1213,1212,1,1997,1992,1997
503,1214,470,1,1997,1993,1997
1043,1215,559,0.993,1997,1995,1997
308,1216,216,0.999,1997,1990,1997
531,1217,849,0.704,1996,1993,1996
458,1219,1039,0.997,1996,1992,1996
524,1220,634,1,1997,1993,1997
1246,1221,868,1,1997,1996,1997
927,1222,501,1,1997,1994,1997
1043,1223,1276,0.849,1998,1995,1998
838,1224,215,0.964,1997,1994,1997
635,1225,636,1,1997,1993,1997
835,1226,1165,0.999,1997,1994,1997
880,1227,436,1,1997,1995,1997
826,1228,1212,0.983,1997,1994,1997
500,1229,494,1,1998,1991,1998
469,1230,467,0.967,1997,1992,1997
915,1231,941,1,1997,1994,1997
169,1232,890,0.827,1997,1988,1997
666,1233,916,1,1997,1993,1997
168,1234,854,0.859,1997,1989,1997
912,1236,922,1,1997,1994,1997
561,1237,51,1,1997,1993,1997
479,1238,866,1,1997,1992,1997
442,1239,868,0.999,1997,1992,1997
641,1241,637,1,1997,1993,1997
774,1242,633,0.995,1996,1994,1996
862,1243,857,1,1996,1994,1996
774,1245,857,0.962,1998,1994,1998
827,1246,176,0.61,1996,1994,1996
912,1248,922,1,1998,1994,1998
474,1262,884,1,1997,1992,1997
297,1267,1862,0.999,1997,1988,1997
931,1268,1040,1,1998,1994,1998
679,1269,,0.355,1996,1993,1996
1271,1270,1395,0.999,1998,1996,1998
855,1271,854,1,1996,1994,1996
855,1272,854,0.997,1996,1994,1996
942,1273,864,0.787,1996,1994,1996
560,1274,,0.686,1996,1993,1996
608,1275,510,1,1998,1993,1998
1182,1276,851,1,1996,1996,1996
949,1277,557,1,1998,1995,1998
171,1278,602,1,1998,1988,1998
522,1279,1174,1,1996,1993,1996
1218,1285,544,0.999,1996,1996,1996
825,1286,672,1,1997,1994,1997
441,1287,1165,1,1998,1992,1998
635,1288,636,0.999,1998,1993,1998
862,1290,1198,1,1998,1994,1998
528,1291,178,1,1998,1993,1998
1206,1292,1176,0.915,1998,1996,1998
522,1293,629,0.993,1998,1993,1998
1173,1294,1041,1,1998,1996,1998
1403,1295,849,1,1997,1997,1997
670,1296,1211,1,1998,1993,1998
1017,1297,1018,1,1997,1992,1997
1049,1298,636,0.999,1997,1996,1997
1218,1299,916,0.75,1996,1996,1996
1299,1300,1028,0.999,1998,1996,1998
530,1301,637,1,1996,1993,1996
641,1302,637,1,1998,1993,1998
677,1304,1168,0.931,1997,1993,1997
1177,1305,854,0.988,1998,1996,1998
561,1306,1178,1,1998,1993,1998
455,1345,507,0.996,1997,1992,1997
930,1348,495,1,1998,1994,1998
596,1349,200,0.983,1998,1993,1998
168,1355,884,1,1997,1989,1997
832,1356,1041,1,1997,1994,1997
853,1357,865,1,1997,1994,1997
1019,1358,494,0.55,1998,1995,1998
444,1359,1166,1,1998,1992,1998
630,1360,1041,1,1997,1993,1997
628,1361,1041,1,1998,1993,1998
199,1362,609,1,1998,1986,1998
1049,1363,776,1,1998,1996,1998
1173,1364,1159,0.997,1998,1996,1998
869,1365,453,0.997,1998,1995,1998
1158,1366,1041,0.895,1998,1996,1998
912,1367,922,0.999,1998,1994,1998
932,1368,216,1,1997,1994,1997
459,1369,947,1,1997,1992,1997
308,1370,216,0.993,1997,1990,1997
454,1371,216,0.989,1997,1992,1997
561,1380,467,1,1997,1993,1997
679,1382,477,0.914,1997,1993,1997
604,1383,1178,0.614,1997,1993,1997
1246,1384,609,1,1998,1996,1998
604,1385,216,0.998,1998,1993,1998
455,1386,176,0.946,1997,1992,1997
308,1387,1274,1,1998,1990,1998
1386,1388,1274,1,1998,1997,1998
457,1389,507,0.822,1998,1992,1998
596,1391,200,1,1998,1993,1998
172,1392,1020,0.771,1997,1989,1997
1345,1393,215,1,1998,1997,1998
832,1394,1041,1,1998,1994,1998
1177,1395,824,0.718,1997,1996,1997
469,1396,467,0.597,1998,1992,1998
1347,1397,494,1,1998,1997,1998
845,1398,674,1,1998,1994,1998
845,1399,674,1,1998,1994,1998
1401,1400,605,1,1998,1997,1998
601,1401,1018,0.997,1997,1993,1997
1186,1402,890,1,1998,1996,1998
531,1403,776,1,1997,1993,1997
454,1404,221,1,1997,1992,1997
859,1405,929,0.998,1998,1994,1998
1403,1406,849,1,1998,1997,1998
1026,1407,1032,1,1998,1996,1998
1017,1408,1018,1,1998,1992,1998
840,1409,597,1,1998,1994,1998
502,1410,215,1,1998,1993,1998
169,1411,890,0.904,1998,1988,1998
457,1412,868,1,1998,1992,1998
927,1413,501,1,1998,1994,1998
447,1414,1203,0.556,1998,1992,1998
441,1415,1165,0.926,1998,1992,1998
1271,1416,605,1,1998,1996,1998
825,1417,672,0.997,1998,1994,1998
912,1418,922,1,1999,1994,1999
912,1419,922,1,1999,1994,1999
1347,1420,494,0.984,1999,1997,1999
1345,1421,215,0.999,1999,1997,1999
1049,1422,632,1,1999,1996,1999
447,1423,1203,1,1999,1992,1999
774,1424,1198,1,1999,1994,1999
1403,1425,849,1,1999,1997,1999
522,1426,1360,1,1999,1993,1999
862,1427,917,1,1999,1994,1999
524,1428,865,1,1999,1993,1999
915,1429,847,1,1999,1994,1999
1172,1430,1171,1,1997,1996,1997
561,1431,467,1,1999,1993,1999
504,1432,44,1,1999,1993,1999
1222,1433,501,0.756,1999,1997,1999
880,1434,1047,0.997,1999,1995,1999
853,1435,865,1,1999,1994,1999
524,1436,865,1,1999,1993,1999
1017,1437,1018,0.999,1998,1992,1998
1155,1438,1154,1,1999,1996,1999
932,1439,1274,1,1999,1994,1999
1177,1440,1243,1,1999,1996,1999
915,1441,1412,1,1999,1994,1999
823,1485,562,1,1998,1994,1998
601,1486,506,1,1999,1993,1999
914,1487,1040,0.998,1999,1994,1999
628,1488,,0.614,1999,1993,1999
1042,1489,453,1,1999,1996,1999
308,1491,609,0.599,1999,1990,1999
542,1492,544,0.812,1999,1993,1999
835,1493,1031,1,1999,1994,1999
845,1494,1276,1,1999,1994,1999
1200,1495,1156,1,1999,1996,1999
1160,1496,1047,1,1999,1996,1999
1304,1497,668,1,1999,1997,1999
666,1498,1028,0.999,1999,1993,1999
670,1499,1381,1,1999,1993,1999
442,1500,609,1,1999,1992,1999
826,1501,216,0.98,1998,1994,1998
1517,1502,1062,1,1999,1998,1999
1186,1503,1184,1,1999,1996,1999
1404,1504,507,1,1999,1997,1999
1200,1506,1156,0.988,1999,1996,1999
1271,1507,506,0.989,1999,1996,1999
168,1508,1045,1,1999,1989,1999
925,1509,1287,1,1999,1994,1999
1247,1510,1020,0.998,1999,1996,1999
840,1511,597,1,1999,1994,1999
951,1512,1196,1,1999,1995,1999
1244,1513,467,0.996,1999,1997,1999
1059,1514,494,1,1999,1996,1999
444,1515,1166,1,1999,1992,1999
1437,1516,1279,0.946,1999,1998,1999
639,1517,208,0.999,1998,1994,1998
1401,1518,1185,1,1999,1997,1999
912,1519,922,0.826,1999,1994,1999
502,1520,1164,0.999,1999,1993,1999
826,1521,1213,0.998,1999,1994,1999
1409,1522,1209,1,1999,1998,1999
949,1523,557,1,1999,1995,1999
938,1524,1028,1,1999,1994,1999
1432,1525,922,1,1999,1999,1999
504,1526,497,1,1999,1993,1999
1403,1527,849,0.998,1999,1997,1999
1304,1528,668,1,1999,1997,1999
1403,1529,849,1,1999,1997,1999
1410,1530,436,1,1999,1998,1999
949,1531,557,1,1999,1995,1999
596,1532,911,1,1999,1993,1999
677,1533,1028,1,1999,1993,1999
853,1534,865,1,1998,1994,1998
168,1535,1018,1,1999,1989,1999
1017,1536,1018,1,1999,1992,1999
825,1537,1286,1,1999,1994,1999
459,1538,607,0.903,1999,1992,1999
459,1539,176,0.855,1999,1992,1999
869,1540,1178,0.994,1999,1995,1999
459,1541,1290,1,1999,1992,1999
1022,1542,1199,0.998,1999,1995,1999
199,1543,609,1,1999,1986,1999
441,1544,1165,0.993,1999,1992,1999
1432,1545,1187,0.966,1999,1999,1999
596,1546,497,1,1999,1993,1999
1024,1547,676,1,1999,1995,1999
1024,1548,676,1,1999,1995,1999
1042,1549,176,1,1999,1996,1999
1218,1550,886,1,1999,1996,1999
869,1551,1178,0.998,1999,1995,1999
1369,1552,1032,1,1999,1997,1999
604,1553,1274,1,1999,1993,1999
932,1554,1274,0.979,1999,1994,1999
199,1555,609,1,1999,1986,1999
1369,1556,1032,1,1999,1997,1999
604,1557,921,1,1999,1993,1999
466,1558,51,1,1999,,1999
458,1559,499,1,1999,1992,1999
823,1560,499,1,1999,1994,1999
1386,1561,216,0.999,1999,1997,1999
522,1562,629,1,1999,1993,1999
450,1563,634,1,1999,1992,1999
297,1564,634,1,1999,1988,1999
441,1565,1167,1,1999,1992,1999
1160,1566,1179,0.978,1999,1996,1999
663,1568,1154,1,1999,1993,1999
627,1570,467,0.998,1999,1994,1999
1042,1571,176,0.992,2000,1996,2000
1369,1572,1032,1,2000,1997,2000
476,1573,917,0.517,2000,1992,2000
308,1574,921,1,2000,1990,2000
1186,1575,1188,1,2000,1996,2000
859,1576,929,1,2000,1994,2000
308,1577,1274,1,2000,1990,2000
862,1578,917,1,2000,1994,2000
1170,1579,1063,1,2000,1997,2000
1403,1580,525,1,2000,1997,2000
1161,1581,525,1,2000,1996,2000
1161,1582,849,1,2000,1996,2000
951,1583,1196,1,2000,1995,2000
848,1584,1370,0.999,1999,1994,1999
595,1585,495,1,2000,1993,2000
503,1586,1214,1,2000,1993,2000
1382,1588,847,1,2000,1997,2000
1382,1589,847,1,2000,1997,2000
826,1590,1274,1,2000,1994,2000
1059,1591,1020,0.997,2000,1996,2000
853,1592,629,0.998,2000,1994,2000
1017,1593,1018,0.986,2000,1992,2000
1415,1594,1165,1,2000,1998,2000
1271,1595,1395,1,2000,1996,2000
168,1596,1045,1,2000,1989,2000
774,1597,1198,1,2000,1994,2000
1195,1598,1279,1,2000,1996,2000
1501,1599,890,0.998,2000,1998,2000
524,1600,865,1,2000,1993,2000
925,1601,1287,1,2000,1994,2000
912,1602,1187,0.999,2000,1994,2000
1247,1604,494,1,2000,1996,2000
1222,1605,494,1,2000,1997,2000
595,1606,495,1,2000,1993,2000
1222,1607,494,1,2001,1997,2001
1247,1608,494,1,2000,1996,2000
1177,1609,1395,1,2001,1996,2001
1170,1610,917,1,2000,1997,2000
639,1611,1028,1,2000,1994,2000
949,1612,557,1,2000,1995,2000
845,1613,1276,1,2001,1994,2001
912,1614,1348,1,2001,1994,2001
1130,1615,1356,1,2000,,2000
1384,1616,1370,1,2000,1998,2000
858,1617,1063,1,2000,1994,2000
832,1618,1435,0.999,2001,1994,2001
1436,1619,1381,1,2001,1999,2001
823,1620,1268,1,2001,1994,2001
1017,1621,1018,1,2001,1992,2001
1193,1622,602,0.999,2001,1996,2001
840,1623,497,1,2001,1994,2001
1605,1660,497,1,2002,2000,2002
840,1661,911,0.995,2002,1994,2002
1771,1662,1187,1,2002,2001,2002
1490,1663,1031,1,2001,1999,2001
1490,1664,1031,1,2002,1999,2002
1059,1665,494,1,2002,1996,2002
1218,1667,1542,1,2001,1996,2001
826,1668,1213,0.999,2002,1994,2002
1503,1669,1209,1,2001,1999,2001
459,1671,1670,1,2002,1992,2002
1043,1672,,0.635,2001,1995,2001
1409,1673,1543,1,2001,1998,2001
1589,1675,929,1,2002,2000,2002
1588,1677,1587,1,2001,2000,2001
1588,1678,1581,1,2002,2000,2002
1588,1679,1581,1,2002,2000,2002
845,1680,1276,1,2002,1994,2002
845,1681,1276,1,2001,1994,2001
869,1682,1188,1,2001,1995,2001
1271,1683,1593,1,2001,1996,2001
927,1684,501,1,2000,1994,2000
1049,1685,,0.664,2002,1996,2002
1384,1696,1557,0.997,2002,1998,2002
1384,1697,1370,1,2002,1998,2002
1552,1698,1504,1,2001,1999,2001
1552,1699,1504,1,2002,1999,2002
1508,1700,865,1,2001,1999,2001
