BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,BreedGroupID,TerritoryID,Status,MaxOfMaxOfSeenDate,SexEstimate
1,1000,3609.634781,8,EAF,2805,26,1758,24.0,,14.9,,2002,41,1118,23/09/2002,811,58,FL,02/08/2005,0
1,1000,8898.793455,8,EAF,2806,39,1758,24.0,,14.9,,2002,41,1118,23/09/2002,811,58,FL,02/08/2005,0
2,1001,5448.470201,4,EB,585,37,1757,24.6,,15.6,,2001,41,1117,23/09/2002,811,58,BrF,07/09/2010,0
2,1001,4378.367389,4,EB,586,7,1757,24.6,,15.6,,2001,41,1117,23/09/2002,811,58,BrF,07/09/2010,0
3,1002,3479.442412,4,EB,587,8,1523,26.9,,18.5,,1999,41,1118,23/09/2002,811,58,BrM,31/01/2013,1
3,1002,5045.867909,8,EAF,2476,10,1523,26.9,,18.5,,1999,41,1118,23/09/2002,811,58,BrM,31/01/2013,1
4,1003,5211.050048,8,EAF,2630,16,1891,25.0,,13.5,G,2002,41,1119,24/09/2002,842,128,OFL,01/12/2005,0
5,1004,5773.696645,4,EB,588,8,1759,26.2,,,,2001,41,1120,25/09/2002,853,171,U,03/08/2006,1
6,1005,3341.959748,8,EAF,2763,6,1892,24.0,,15.5,RB,2001,41,1121,27/09/2002,3269,82,ABX,30/12/2004,0
6,1005,3105.564029,4,EB,589,8,1892,24.0,,15.5,RB,2001,41,1121,27/09/2002,3269,82,ABX,30/12/2004,0
7,1006,8807.949108,8,EAF,2774,17,1894,25.6,,14.5,,2002,41,1121,27/09/2002,3255,33,ABX,27/09/2002,1
8,1007,4014.14467,4,EB,590,37,1760,24.6,,15.0,,2001,41,1122,02/10/2002,3276,121,BrF,30/07/2006,0
8,1007,3545.509304,4,EB,591,8,1760,24.6,,15.0,,2001,41,1122,02/10/2002,3276,121,BrF,30/07/2006,0
45,1044,5475.960641,4,EB,592,8,1705,24.3,,14.4,,2002,30,1124,07/06/2003,444,1,H,11/12/2005,0
45,1044,4608.241834,7,EAF,2134,40,1705,24.3,,14.4,,2002,30,1124,07/06/2003,444,1,H,11/12/2005,0
46,1045,3416.383898,2,EB,593,13,912,24.4,,14.9,,1994,30,1124,07/06/2003,444,1,BrF,30/07/2008,0
47,1046,4703.100888,8,EAF,2731,1,1762,25.9,,15.4,,2002,30,1124,07/06/2003,445,2,B,15/09/2015,1
48,1047,5889.014173,4,EB,594,8,1287,25.9,,17.1,,1998,30,1125,08/06/2003,446,3,BrM,18/11/2005,1
48,1047,6384.612168,7,EAF,2194,27,1287,25.9,,17.1,,1998,30,1125,08/06/2003,446,3,BrM,18/11/2005,1
49,1048,5616.920004,7,EAF,2202,39,1763,23.6,,14.1,,2002,30,1125,08/06/2003,446,3,BrF,26/09/2013,0
49,1048,5738.9916,4,EB,595,8,1763,23.6,,14.1,,2002,30,1125,08/06/2003,446,3,BrF,26/09/2013,0
50,1049,4676.662152,8,EAF,3172,32,1764,24.5,,14.1,,2003,30,1125,08/06/2003,472,40,ABX,30/07/2005,0
51,1050,6171.743041,4,EB,596,8,1222,24.9,,,,1997,30,1125,08/06/2003,472,40,BrF,19/08/2004,0
51,1050,10847.92096,7,EAF,2219,36,1222,24.9,,,,1997,30,1125,08/06/2003,472,40,BrF,19/08/2004,0
52,1051,6085.586323,4,EB,599,8,1684,25.5,,17.3,,2000,30,1125,08/06/2003,472,40,BrM,26/07/2011,1
52,1051,3868.823117,4,EB,598,40,1684,25.5,,17.3,,2000,30,1125,08/06/2003,472,40,BrM,26/07/2011,1
