BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,Ageclass,Status,BreedGroupID,TerritoryID,SexEstimate,MaxOfMaxOfSeenDate
5697,4639,8178.070477,9,EAF,3498,17,5583,21.9,,14.9,RB,2010,122,4846,05/09/2013,A,BrM,6205,159,1,31/08/2015
877,668,3986.457975,5,EB,441,15,1576,23.8,23.4,14.7,,2000,39,1018,01/08/2000,OFL,OFL,3036,15,0,12/03/2010
879,670,3636.415507,1,EB,443,26,1859,23.0,23.1,14.1,,1988,39,1018,01/08/2000,A,BrF,3036,15,0,01/08/2000
912,703,3347.642266,5,EB,470,16,1591,25.7,25.9,15.5,,2000,39,1025,11/08/2000,FL,FL,3042,24,1,18/11/2005
924,715,10294.91585,6,EAF,1845,29,1599,,, 9.7,,2000,39,1027,13/08/2000,CH,FL,3046,28,0,09/07/2001
924,715,7341.045538,5,EB,478,17,1599,,, 9.7,,2000,39,1027,13/08/2000,CH,FL,3046,28,0,09/07/2001
900,691,2959.955755,5,EB,462,16,1586,24.4,24,14.7,,2000,39,1022,05/08/2000,OFL,OFL,3049,33,0,12/07/2001
904,695,6668.778385,1,EB,465,27,1166,25.4,25.5,15.8,,1996,39,1022,05/08/2000,A,BrM,3050,35,1,30/08/2004
903,694,5733.768345,1,EB,464,27,1515,25.6,25.5,16.1,,1999,39,1022,05/08/2000,SA,ABX,3050,35,1,04/07/2001
917,708,4747.67181,7,EAF,2320,34,1165,,,,,1996,39,1025,11/08/2000,A,BrM,3052,38,1,29/11/2005
917,708,5223.101962,7,EAF,2319,33,1165,,,,,1996,39,1025,11/08/2000,A,BrM,3052,38,1,29/11/2005
915,706,4520.43923,5,EB,473,17,1594,24.5,24.6,14.5,,2000,39,1025,11/08/2000,FL,FL,3052,38,1,11/08/2000
875,666,7425.020806,6,EAF,1834,31,1385,25.0,24.7,16.6,,1998,39,1017,30/07/2000,A,BrF,3055,43,0,30/07/2000
875,666,8557.591672,1,EB,439,26,1385,25.0,24.7,16.6,,1998,39,1017,30/07/2000,A,BrF,3055,43,0,30/07/2000
874,665,4290.339328,1,EB,438,26,1390,23.9,24.2,13.6,,1998,39,1017,30/07/2000,A,SEEN1,3056,45,0,12/08/2003
874,665,5082.986682,6,EAF,1833,31,1390,23.9,24.2,13.6,,1998,39,1017,30/07/2000,A,SEEN1,3056,45,0,12/08/2003
880,671,2080.207345,1,EB,444,27,848,24.1,23.9,13.6,,1994,39,1018,01/08/2000,A,U,3061,52,0,01/08/2000
882,673,15878.93359,1,EB,445,31,1370,26.3,26.2,16.4,,1997,39,1019,02/08/2000,A,ABX,3061,52,1,25/05/2004
883,674,3645.749774,1,EB,446,27,1384,22.9,23.2,14.6,,1998,39,1019,02/08/2000,A,BrF,3061,52,0,10/08/2009
872,663,2835.719113,5,EB,436,15,1574,25.2,25.3,15.4,,2000,39,1016,29/07/2000,FL,OFL,3062,53,1,29/07/2000
884,675,6100.661799,7,EAF,2312,26,1552,24.2,24.1,15.2,,1999,39,1019,02/08/2000,A,SEEN1,3063,54,0,24/09/2002
884,675,8667.493363,7,EAF,2311,25,1552,24.2,24.1,15.2,,1999,39,1019,02/08/2000,A,SEEN1,3063,54,0,24/09/2002
884,675,5741.650992,1,EB,447,27,1552,24.2,24.1,15.2,,1999,39,1019,02/08/2000,A,SEEN1,3063,54,0,24/09/2002
871,662,3407.943039,5,EB,435,15,1573,23.5,23.8,14.2,,2000,39,1016,29/07/2000,OFL,OFL,3065,57,0,29/06/2001
873,664,4952.382652,1,EB,437,26,1032,25.6,25.7,,,1996,39,1016,29/07/2000,A,BrM,3066,60,1,10/07/2001
870,661,3583.653042,5,EB,434,15,1572,24.9,25,14.4,,2000,39,1016,29/07/2000,FL,FL,3066,60,1,26/05/2004
869,660,6045.369247,6,EAF,1832,31,1571,23.9,23.6,14.6,,2000,39,1015,25/07/2000,CH,FL,3069,63,0,25/07/2000
878,669,5019.359287,1,EB,442,26,1186,24.8,24.9,15.1,,1996,39,1018,01/08/2000,A,BrF,3075,72,0,20/07/2002
876,667,2582.460022,5,EB,440,15,1575,24.8,24.4,14.0,,2000,39,1018,01/08/2000,OFL,OFL,3075,72,0,05/07/2001
896,687,5942.395006,7,EAF,2315,34,1196,26.2,26.2,17.9,,1996,39,1021,04/08/2000,A,BrM,3088,88,1,04/09/2009
896,687,7159.716347,7,EAF,2316,43,1196,26.2,26.2,17.9,,1996,39,1021,04/08/2000,A,BrM,3088,88,1,04/09/2009
896,687,6849.455359,7,EAF,2314,33,1196,26.2,26.2,17.9,,1996,39,1021,04/08/2000,A,BrM,3088,88,1,04/09/2009
897,688,4385.455345,5,EB,459,16,1512,26.1,26.1,16.5,,1999,39,1021,04/08/2000,SA,ABX,3088,88,1,15/01/2008
894,685,3216.369853,5,EB,457,16,1583,26.0,26.2,15.6,,2000,39,1021,04/08/2000,OFL,OFL,3088,88,1,24/08/2002
920,711,4523.408629,5,EB,475,17,1596,24.6,24.5,15.1,,2000,39,1026,12/08/2000,FL,FL,3089,89,1,12/08/2000
888,679,4390.693853,1,EB,451,27,632,25.3,25.3,15.1,,1993,39,1020,03/08/2000,A,BrM,3090,90,1,03/08/2000
889,680,14926.56323,1,EB,452,31,858,24.8,24.8,16.4,,1994,39,1020,03/08/2000,A,BrF,3091,92,0,03/08/2000
890,681,9563.406532,1,EB,453,31,1063,24.9,24.7,15.7,,1996,39,1020,03/08/2000,A,BrM,3091,92,1,03/08/2000
887,678,4678.710503,5,EB,450,15,1579,25.1,25.5,15.5,,2000,39,1020,03/08/2000,FL,OFL,3093,95,1,02/08/2008
893,684,3373.682417,5,EB,456,16,1582,26.0,26,16.5,,2000,39,1021,04/08/2000,OFL,OFL,3095,99,1,04/08/2000
892,683,3592.732529,5,EB,455,15,1581,25.7,25.4,15.6,,2000,39,1021,04/08/2000,OFL,OFL,3095,99,1,05/02/2009
895,686,5137.591074,1,EB,458,27,1527,24.5,24.5,14.4,,1999,39,1021,04/08/2000,SA,ABX,3097,101,0,04/08/2000
891,682,4199.208544,5,EB,454,15,1580,24.0,24.1,14.1,,2000,39,1021,04/08/2000,FL,FL,3097,101,0,13/08/2015
913,704,3682.50251,5,EB,471,16,1592,24.3,24.2,15.0,,2000,39,1025,11/08/2000,FL,FL,3100,109,0,12/07/2001
921,712,4877.09704,5,EB,476,17,1597,24.5,24.6,14.2,,2000,39,1026,12/08/2000,OFL,OFL,3105,117,0,05/07/2004
922,713,6970.957544,5,EB,477,17,1598,24.0,24.1,14.6,,2000,39,1026,12/08/2000,OFL,OFL,3105,117,0,13/01/2007
923,714,6052.313079,8,EAF,2792,7,1198,,,,,1996,39,1026,12/08/2000,A,BrM,3105,117,1,12/08/2000
910,701,6007.081839,6,EAF,1838,14,1429,,,,,1999,39,4583,07/08/2000,A,BrF,3116,134,0,27/07/2006
910,701,6827.509858,6,EAF,1844,22,1429,,,,,1999,39,4583,07/08/2000,A,BrF,3116,134,0,27/07/2006
910,701,6667.576921,6,EAF,1843,21,1429,,,,,1999,39,4583,07/08/2000,A,BrF,3116,134,0,27/07/2006
910,701,6645.311548,6,EAF,1842,20,1429,,,,,1999,39,4583,07/08/2000,A,BrF,3116,134,0,27/07/2006
910,701,7154.623938,6,EAF,1841,19,1429,,,,,1999,39,4583,07/08/2000,A,BrF,3116,134,0,27/07/2006
910,701,7152.924204,6,EAF,1839,15,1429,,,,,1999,39,4583,07/08/2000,A,BrF,3116,134,0,27/07/2006
910,701,4537.705993,6,EAF,1837,13,1429,,,,,1999,39,4583,07/08/2000,A,BrF,3116,134,0,27/07/2006
910,701,7941.413557,6,EAF,1836,12,1429,,,,,1999,39,4583,07/08/2000,A,BrF,3116,134,0,27/07/2006
910,701,6859.822641,6,EAF,1840,16,1429,,,,,1999,39,4583,07/08/2000,A,BrF,3116,134,0,27/07/2006
910,701,8954.934762,6,EAF,1835,10,1429,,,,,1999,39,4583,07/08/2000,A,BrF,3116,134,0,27/07/2006
906,697,3567.000447,5,EB,467,16,1588,23.5,23.5,13.8,,2000,39,4583,07/08/2000,OFL,OFL,3116,134,0,25/06/2004
908,699,7858.210068,8,EAF,3748,38,847,25.0,25,15.0,,1994,39,4583,07/08/2000,A,BrM,3118,138,1,07/08/2000
909,700,2658.536426,8,EAF,2790,5,1382,,,,,1997,39,4583,07/08/2000,A,BrF,3118,138,0,07/08/2000
907,698,2832.134757,5,EB,468,16,1589,23.9,23.1,14.1,,2000,39,4583,07/08/2000,OFL,OFL,3118,138,0,14/08/2008
905,696,4683.493246,1,EB,466,38,1587,25.6,25.5,16.4,,1999,39,4583,07/08/2000,A,BrM,3121,144,1,13/01/2007
918,709,3706.164351,8,EAF,2791,14,1395,,,,,1997,39,1025,11/08/2000,A,BrM,3128,166,1,04/01/2005
919,710,6769.004857,7,EAF,2321,25,1416,,,,,1998,39,1025,11/08/2000,A,BrM,3129,168,1,11/08/2000
