"BloodID","TL","BTN","Whodunnit","Objective","PlateID"
"2",0.790434136,"1001","EB",NA,NA
"2",0.790434136,"1001","EB",NA,NA
"801",35.5271848,"578","EB",NA,NA
"801",35.5271848,"578","EB",NA,NA
"2410",200.245399,"105","EB",NA,NA
"2410",200.245399,"105","EB",NA,NA
"3981",432.6381409,"3023","EB",NA,NA
"2214",630.8428455,"164","EB",NA,NA
"2214",630.8428455,"164","EB",NA,NA
"3996",906.5869596,"3044","EB",NA,NA
"3131",1119.360171,"2140","EB",NA,NA
"3886",1231.591674,"2758","EB",NA,NA
"558",1249.942236,"1578","EB",NA,NA
"3768",1297.716261,"2446","EB",NA,NA
"3768",1297.716261,"2446","EB",NA,NA
"3752",1383.540986,"2603","EB",NA,NA
"3808",1412.874318,"2488","EB",NA,NA
"3808",1412.874318,"2488","EB",NA,NA
"3808",1412.874318,"2488","EB",NA,NA
"2513",1413.318636,"31","EB",NA,NA
"3757",1436.017252,"2602","EB",NA,NA
"3746",1475.960783,"2595","EB",NA,NA
"1068",1507.455016,"919","EB",NA,NA
"1068",1507.455016,"919","EB",NA,NA
"2289",1514.240031,"31","EB",NA,NA
"3176",1522.647327,"2185","EB",NA,NA
"190",1544.158627,"1191","EB",NA,NA
"190",1544.158627,"1191","EB",NA,NA
"3995",1544.827457,"3042","EB",NA,NA
"4117",1552.837335,"3222","EB",NA,NA
"3804",1610.937169,"2483","EB",NA,NA
"3804",1610.937169,"2483","EB",NA,NA
"2373",1626.721961,"5","EB",NA,NA
"2373",1626.721961,"5","EB",NA,NA
"3468",1633.777484,"2589","EB",NA,NA
"3966",1636.354849,"3017","EB",NA,NA
"3683",1638.990085,"2386","EB",NA,NA
"4057",1646.563404,"3152","EB",NA,NA
"4312",1655.53579,"3290","EB",NA,NA
"4041",1688.603199,"2963","EB",NA,NA
"4041",1688.603199,"2963","EB",NA,NA
"4041",1688.603199,"2963","EB",NA,NA
"4058",1702.308525,"3153","EB",NA,NA
"2364",1737.35441,"41","EB",NA,NA
"364",1740.529647,"1375","EB",NA,NA
"3158",1755.404004,"2167","EB",NA,NA
"3743",1757.960833,"2590","EB",NA,NA
"899",1763.36923,"690","EB",NA,NA
"4262",1775.50844,"3131","EB",NA,NA
"2463",1794.928617,"153","EB",NA,NA
"3985",1809.127234,"3040","EB",NA,NA
"755",1839.951866,"526","EB",NA,NA
"755",1839.951866,"526","EB",NA,NA
"3906",1840.44913,"2772","EB",NA,NA
"2921",1856.271743,"1881","EB",NA,NA
"2921",1856.271743,"1881","EB",NA,NA
"4027",1858.942874,"2971","EB",NA,NA
"4027",1858.942874,"2971","EB",NA,NA
"4027",1858.942874,"2971","EB",NA,NA
"3889",1892.403742,"2755","EB",NA,NA
"4201",1893.79672,"3093","EB",NA,NA
"3164",2001.639749,"2173","EB",NA,NA
"2950",2021.057476,"1910","EB",NA,NA
"2183",2024.268226,"136","EB",NA,NA
"2183",2024.268226,"136","EB",NA,NA
"3914",2062.25653,"2786","EB",NA,NA
"880",2080.207345,"671","EB",NA,NA
"577",2087.691888,"1597","EB",NA,NA
"577",2087.691888,"1597","EB",NA,NA
"3913",2104.170677,"2783","EB",NA,NA
"3907",2104.256777,"2777","EB",NA,NA
"3907",2104.256777,"2777","EB",NA,NA
"3742",2114.977616,"2587","EB",NA,NA
"3742",2114.977616,"2587","EB",NA,NA
"668",2124.157373,"1688","EB",NA,NA
"157",2133.563179,"1156","EB",NA,NA
"157",2133.563179,"1156","EB",NA,NA
"462",2143.879527,"1475","EB",NA,NA
"3805",2146.169101,"2489","EB",NA,NA
"2926",2172.800691,"1886","EB",NA,NA
"712",2184.140575,"464","EB",NA,NA
