BloodID,TL,BTN,Whodunnit,Objective,PlateID
2403,5399.239015,1,EB,1,1
2511,5140.825078,3,EB,1,1
2522,9624.101415,4,EB,1,1
2544,9208.673196,6,EB,1,1
2577,4972.124227,9,EB,1,1
2404,4351.190456,10,EB,1,1
2415,5716.853173,11,EB,1,2
2426,6422.186459,12,EB,1,2
2470,7955.657028,16,EB,1,2
2481,8088.013582,17,EB,1,2
2490,5833.358099,18,EB,1,2
2491,5673.98091,19,EB,1,2
2514,4820.042102,32,EB,1,4
2515,4439.633179,33,EB,1,4
2516,6001.71401,34,EB,1,4
2518,6595.915388,36,EB,1,4
2520,6259.869304,38,EB,1,4
2553,5627.138305,68,EB,1,8
2554,6380.447145,69,EB,1,8
2556,7220.546928,70,EB,1,8
2557,7991.919803,71,EB,1,8
2558,6864.028605,72,EB,1,8
2559,5502.137178,73,EB,1,8
2560,6725.578619,74,EB,1,8
2561,5863.509833,75,EB,1,9
2564,5851.456421,78,EB,1,9
2565,7212.186725,79,EB,1,9
2567,5908.504682,80,EB,1,9
2568,5932.795916,81,EB,1,9
2571,6569.335861,84,EB,1,10
2575,7191.97329,88,EB,1,10
2576,6498.255949,89,EB,1,10
2578,9277.966273,90,EB,1,10
2579,7453.882136,91,EB,1,10
2580,9067.257598,92,EB,1,10
2582,9302.932701,94,EB,1,10
2410,200.245399,105,EB,1,12
2412,5122.612161,107,EB,1,12
2413,8263.587322,108,EB,1,12
2414,7715.181806,109,EB,1,12
2417,11187.27619,111,EB,1,12
2418,7110.799418,112,EB,1,12
2420,6092.823134,114,EB,1,12
2421,4655.230841,115,EB,1,13
2423,8274.754774,117,EB,1,13
2436,6056.211031,129,EB,1,13
2442,4305.555252,134,EB,1,13
2496,6475.362349,202,EB,1,13
2497,8664.616631,203,EB,1,13
2498,6168.816173,204,EB,1,13
2594,4689.809025,213,EB,1,14
2597,4715.465096,216,EB,1,14
2605,6595.522715,225,EB,1,14
2606,5906.179613,226,EB,1,14
2621,9040.224975,241,EB,1,14
2622,5311.881493,242,EB,1,14
2523,3215.950552,40,EB,1,15
2623,3671.745462,243,EB,1,15
2624,6689.117121,244,EB,1,15
