BloodID,TL,BirdID,BTN,Whodunnit,Objective,Plate
2,0.790434136,1757,1001,EB,,
2,0.790434136,1757,1001,EB,,
801,35.5271848,1532,578,EB,,
801,35.5271848,1532,578,EB,,
2410,200.245399,1202,105,EB,,
2410,200.245399,1202,105,EB,,
3981,432.6381409,5073,3023,EB,,
2214,630.8428455,51,164,EB,,
2214,630.8428455,51,164,EB,,
3996,906.5869596,1754,3044,EB,,
3131,1119.360171,1795,2140,EB,,
3886,1231.591674,3604,2758,EB,,
558,1249.942236,1716,1578,EB,,
3768,1297.716261,4936,2446,EB,,
3768,1297.716261,4936,2446,EB,,
3752,1383.540986,1664,2603,EB,,
3808,1412.874318,1826,2488,EB,,
3808,1412.874318,1826,2488,EB,,
3808,1412.874318,1826,2488,EB,,
2513,1413.318636,530,31,EB,,
3757,1436.017252,3446,2602,EB,,
3746,1475.960783,4969,2595,EB,,
1068,1507.455016,1712,919,EB,,
1068,1507.455016,1712,919,EB,,
2289,1514.240031,220,31,EB,,
3176,1522.647327,1566,2185,EB,,
190,1544.158627,1533,1191,EB,,
190,1544.158627,1533,1191,EB,,
3995,1544.827457,1790,3042,EB,,
4117,1552.837335,1533,3222,EB,,
3804,1610.937169,1886,2483,EB,,
3804,1610.937169,1886,2483,EB,,
2373,1626.721961,951,5,EB,,
2373,1626.721961,951,5,EB,,
3468,1633.777484,5071,2589,EB,,
3966,1636.354849,1532,3017,EB,,
3683,1638.990085,1852,2386,EB,,
4057,1646.563404,1744,3152,EB,,
4312,1655.53579,5332,3290,EB,,
4041,1688.603199,1187,2963,EB,,
4041,1688.603199,1187,2963,EB,,
4041,1688.603199,1187,2963,EB,,
4058,1702.308525,1783,3153,EB,,
2364,1737.35441,949,41,EB,,
364,1740.529647,1731,1375,EB,,
3158,1755.404004,1415,2167,EB,,
3743,1757.960833,1804,2590,EB,,
899,1763.36923,1585,690,EB,,
4262,1775.50844,5117,3131,EB,,
2463,1794.928617,1213,153,EB,,
3985,1809.127234,1731,3040,EB,,
755,1839.951866,1498,526,EB,,
755,1839.951866,1498,526,EB,,
3906,1840.44913,1607,2772,EB,,
2921,1856.271743,1523,1881,EB,,
2921,1856.271743,1523,1881,EB,,
4027,1858.942874,1031,2971,EB,,
4027,1858.942874,1031,2971,EB,,
4027,1858.942874,1031,2971,EB,,
3889,1892.403742,4875,2755,EB,,
4201,1893.79672,5162,3093,EB,,
3164,2001.639749,1710,2173,EB,,
2950,2021.057476,1043,1910,EB,,
2183,2024.268226,1861,136,EB,,
2183,2024.268226,1861,136,EB,,
3914,2062.25653,1739,2786,EB,,
880,2080.207345,848,671,EB,,
577,2087.691888,3507,1597,EB,,
577,2087.691888,3507,1597,EB,,
3913,2104.170677,5099,2783,EB,,
3907,2104.256777,5074,2777,EB,,
3907,2104.256777,5074,2777,EB,,
3742,2114.977616,4870,2587,EB,,
3742,2114.977616,4870,2587,EB,,
668,2124.157373,1705,1688,EB,,
157,2133.563179,1587,1156,EB,,
157,2133.563179,1587,1156,EB,,
462,2143.879527,1744,1475,EB,,
3805,2146.169101,3519,2489,EB,,
2926,2172.800691,1891,1886,EB,,
712,2184.140575,504,464,EB,,
3979,2184.926428,4890,3031,EB,,
794,2205.358579,1505,571,EB,,
794,2205.358579,1505,571,EB,,
2196,2222.318793,199,148,EB,,
2196,2222.318793,199,148,EB,,
3962,2227.015909,4897,3016,EB,,
3739,2231.156092,1532,2592,EB,,
4162,2234.606738,1195,3054,EB,,
837,2235.819705,1551,619,EB,,
2336,2241.426447,1022,16,EB,,
2336,2241.426447,1022,16,EB,,
3901,2242.18471,3519,2771,EB,,
3745,2265.665253,4939,2593,EB,,
4053,2268.620618,3453,3148,EB,,
3173,2279.361897,1852,2182,EB,,
3173,2279.361897,1852,2182,EB,,
3749,2279.632785,1702,2594,EB,,
4054,2280.593533,1523,3145,EB,,
4098,2281.026253,1394,3205,EB,,
3568,2284.243599,5169,2782,EB,,
4183,2331.573238,5169,3079,EB,,
152,2350.916171,1195,1151,EB,,
152,2350.916171,1195,1151,EB,,
4213,2351.171129,1412,3101,EB,,
2897,2361.166425,1018,1857,EB,,
463,2362.452928,1857,1476,EB,,
4238,2371.027341,1361,3111,EB,,
2348,2389.521724,1028,27,EB,,
2348,2389.521724,1028,27,EB,,
738,2389.55881,1439,506,EB,,
2203,2435.096103,637,154,EB,,
2203,2435.096103,637,154,EB,,
4095,2436.194706,1708,3188,EB,,
2507,2440.481449,467,26,EB,,
770,2442.932323,1509,543,EB,,
2717,2450.467331,1391,364,EB,,
3820,2457.796274,4902,2492,EB,,
3820,2457.796274,4902,2492,EB,,
2940,2459.728376,1672,1900,EB,,
83,2479.411937,1771,1082,EB,,
2533,2506.99868,172,5,EB,,
