"FieldPeriodID" "PsizeFP"
"1" 17 193
"244" 19 308
"571" 21 298
"932" 22 329
"1287" 23 350
"1288" 25 272
"1959" 27 243
"1961" 26 254
"1964" 28 302
"2919" 39 310
"3272" 40 282
"3592" 41 317
"4001" 30 322
"4376" 34 298
"4378" 31 349
"4381" 32 329
"5367" 35 287
"5369" 37 322
"5370" 54 364
"6429" 75 342
"6846" 77 364
"6849" 82 359
"7614" 85 364
"7615" 87 354
"8352" 90 323
"8353" 92 326
"9041" 103 296
"9042" 104 299
"9700" 105 304
"10075" 116 310
"10076" 112 280
"10695" 122 296
"10696" 118 287
"11382" 124 261
"11387" 125 350
"12143" 139 359
"12146" 142 267
