BloodID,CqGAPDH,U_PlateID,CqTelomere,EffGAPDH,EffTelomere,RTL,ID,Whodunnit,BirdID,Ageclass,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,TerritoryID,Status,BreedGroupID,SexEstimate,MaxOfMaxOfSeenDate
5697,23.685,9_17,16.8875,1.902,1.826,0.9459738,1500,EAF,5583,A,21.9,,14.9,RB,2010,122,4846,05/09/2013,159,BrM,6205,1,31/08/2015
917,23.204,7_34,16.147,1.9305,1.836,0.622678634,261,EAF,1165,A,,,,,1996,39,1025,11/08/2000,38,BrM,3052,1,29/11/2005
917,23.2575,7_33,16.835,1.881,1.841,0.706181249,239,EAF,1165,A,,,,,1996,39,1025,11/08/2000,38,BrM,3052,1,29/11/2005
917,23.215,7_43,16.2585,1.9115,1.8585,0.597916807,435,EAF,1165,A,,,,,1996,39,1025,11/08/2000,38,BrM,3052,1,29/11/2005
884,23.1285,7_26,15.3865,1.8775,1.7825,0.8076255,106,EAF,1552,A,24.2,24.1,15.2,,1999,39,1019,02/08/2000,54,SEEN1,3063,0,24/09/2002
884,23.101,7_25,15.0685,1.916,1.8035,1.010856265,86,EAF,1552,A,24.2,24.1,15.2,,1999,39,1019,02/08/2000,54,SEEN1,3063,0,24/09/2002
896,23.276,7_43,15.7895,1.925,1.8135,0.81459042,434,EAF,1196,A,26.2,26.2,17.9,,1996,39,1021,04/08/2000,88,BrM,3088,1,04/09/2009
896,23.2925,7_34,15.8735,1.9135,1.8155,0.780921159,260,EAF,1196,A,26.2,26.2,17.9,,1996,39,1021,04/08/2000,88,BrM,3088,1,04/09/2009
896,23.3425,7_33,16.479,1.921,1.8085,0.893496253,238,EAF,1196,A,26.2,26.2,17.9,,1996,39,1021,04/08/2000,88,BrM,3088,1,04/09/2009
923,23.645,8_7,16.145,1.91,1.858,1.194342768,1285,EAF,1198,A,,,,,1996,39,1026,12/08/2000,117,BrM,3105,1,12/08/2000
908,23.09,8_24,15.7905,1.9285,1.781,1.068734526,824,EAF,847,A,25.0,25,15.0,,1994,39,4583,07/08/2000,138,BrM,3118,1,07/08/2000
908,23.733,8_38,16.412,1.878,1.769,1.231095261,1154,EAF,847,A,25.0,25,15.0,,1994,39,4583,07/08/2000,138,BrM,3118,1,07/08/2000
909,23.262,8_5,17.3205,1.861,1.793,0.535133769,1242,EAF,1382,A,,,,,1997,39,4583,07/08/2000,138,BrF,3118,0,07/08/2000
918,24.4895,8_14,17.9,1.8805,1.829,0.816702346,629,EAF,1395,A,,,,,1997,39,1025,11/08/2000,166,BrM,3128,1,04/01/2005
919,23.4195,7_26,15.9315,1.9505,1.851,0.693750179,107,EAF,1416,A,,,,,1998,39,1025,11/08/2000,168,BrM,3129,1,11/08/2000
919,23.3885,7_25,15.7925,1.909,1.8775,0.811793115,87,EAF,1416,A,,,,,1998,39,1025,11/08/2000,168,BrM,3129,1,11/08/2000
2406,23.1615,8_18,15.3195,1.8835,1.754,1.35932506,700,EAF,1219,SA,24.5,24.4,12.6,,1996,22,715,26/07/1997,14,H,22,0,21/06/1998
