Objective,PlateID,BloodID,U_PlateID,CqGAPDH,CqTelomere,EffGAPDH,EffTelomere,RTL,ID,Whodunnit,BirdID,Ageclass,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,TerritoryID,Status,BreedGroupID,SexEstimate,MaxOfMaxOfSeenDate
9,17,5697,9_17,23.685,16.8875,1.902,1.826,0.9459738,1817,EAF,5583,A,21.9,,14.9,RB,2010,122,4846,05/09/2013,159,BrM,6205,1,31/08/2015
5,15,877,5_15,22.84566667,12.081,1.946333333,1.782,0.901603091,3565,EB,1576,OFL,23.8,23.4,14.7,,2000,39,1018,01/08/2000,15,OFL,3036,0,12/03/2010
5,16,912,5_16,22.71766667,11.888,1.944333333,1.797666667,0.856683654,3579,EB,1591,FL,25.7,25.9,15.5,,2000,39,1025,11/08/2000,24,FL,3042,1,18/11/2005
6,29,924,6_29,22.5605,11.6595,1.9735,1.737,1.155047261,251,EAF,1599,CH,,, 9.7,,2000,39,1027,13/08/2000,28,FL,3046,0,09/07/2001
5,17,924,5_17,22.60933333,11.508,1.927,1.786333333,1.618487962,3592,EB,1599,CH,,, 9.7,,2000,39,1027,13/08/2000,28,FL,3046,0,09/07/2001
5,16,900,5_16,22.29366667,11.626,1.904666667,1.822666667,0.759757087,3575,EB,1586,OFL,24.4,24,14.7,,2000,39,1022,05/08/2000,33,OFL,3049,0,12/07/2001
1,27,904,1_27,24.582,14.03233333,1.921333333,1.692333333,1.131596935,2432,EB,1166,A,25.4,25.5,15.8,,1996,39,1022,05/08/2000,35,BrM,3050,1,30/08/2004
1,27,903,1_27,23.848,13.479,1.881666667,1.682333333,0.955290674,2431,EB,1515,SA,25.6,25.5,16.1,,1999,39,1022,05/08/2000,35,ABX,3050,1,04/07/2001
7,33,917,7_33,23.2575,16.835,1.881,1.841,0.706181249,614,EAF,1165,A,,,,,1996,39,1025,11/08/2000,38,BrM,3052,1,29/11/2005
7,34,917,7_34,23.204,16.147,1.9305,1.836,0.622678634,635,EAF,1165,A,,,,,1996,39,1025,11/08/2000,38,BrM,3052,1,29/11/2005
7,43,917,7_43,23.215,16.2585,1.9115,1.8585,0.597916807,801,EAF,1165,A,,,,,1996,39,1025,11/08/2000,38,BrM,3052,1,29/11/2005
5,17,915,5_17,21.65533333,11.457,1.96,1.787333333,0.877429616,3587,EB,1594,FL,24.5,24.6,14.5,,2000,39,1025,11/08/2000,38,FL,3052,1,11/08/2000
6,31,875,6_31,22.2545,12.299,1.9635,1.7855,1.017461822,285,EAF,1385,A,25.0,24.7,16.6,,1998,39,1017,30/07/2000,43,BrF,3055,0,30/07/2000
6,31,874,6_31,23.467,14.2545,1.9485,1.781,0.740231195,284,EAF,1390,A,23.9,24.2,13.6,,1998,39,1017,30/07/2000,45,SEEN1,3056,0,12/08/2003
1,27,883,1_27,23.709,13.79533333,1.926666667,1.668333333,0.709377901,2426,EB,1384,A,22.9,23.2,14.6,,1998,39,1019,02/08/2000,52,BrF,3061,0,10/08/2009
5,15,872,5_15,22.69533333,12.48033333,1.920333333,1.801,0.644913494,3563,EB,1574,FL,25.2,25.3,15.4,,2000,39,1016,29/07/2000,53,OFL,3062,1,29/07/2000
7,26,884,7_26,23.1285,15.3865,1.8775,1.7825,0.8076255,487,EAF,1552,A,24.2,24.1,15.2,,1999,39,1019,02/08/2000,54,SEEN1,3063,0,24/09/2002
1,27,884,1_27,23.84633333,13.47566667,1.895666667,1.664666667,0.93116731,2427,EB,1552,A,24.2,24.1,15.2,,1999,39,1019,02/08/2000,54,SEEN1,3063,0,24/09/2002
7,25,884,7_25,23.101,15.0685,1.916,1.8035,1.010856265,468,EAF,1552,A,24.2,24.1,15.2,,1999,39,1019,02/08/2000,54,SEEN1,3063,0,24/09/2002
5,15,871,5_15,22.33133333,11.77766667,1.941,1.799666667,0.764690647,3562,EB,1573,OFL,23.5,23.8,14.2,,2000,39,1016,29/07/2000,57,OFL,3065,0,29/06/2001
5,15,870,5_15,22.58,11.96633333,1.959333333,1.815,0.804708081,3561,EB,1572,FL,24.9,25,14.4,,2000,39,1016,29/07/2000,60,FL,3066,1,26/05/2004
6,31,869,6_31,22.4765,12.8825,1.957,1.7625,0.844290797,283,EAF,1571,CH,23.9,23.6,14.6,,2000,39,1015,25/07/2000,63,FL,3069,0,25/07/2000
5,15,876,5_15,23.755,13.79566667,1.923,1.821333333,0.582090794,3564,EB,1575,OFL,24.8,24.4,14.0,,2000,39,1018,01/08/2000,72,OFL,3075,0,05/07/2001
7,33,896,7_33,23.3425,16.479,1.921,1.8085,0.893496253,613,EAF,1196,A,26.2,26.2,17.9,,1996,39,1021,04/08/2000,88,BrM,3088,1,04/09/2009
7,34,896,7_34,23.2925,15.8735,1.9135,1.8155,0.780921159,634,EAF,1196,A,26.2,26.2,17.9,,1996,39,1021,04/08/2000,88,BrM,3088,1,04/09/2009
7,43,896,7_43,23.276,15.7895,1.925,1.8135,0.81459042,800,EAF,1196,A,26.2,26.2,17.9,,1996,39,1021,04/08/2000,88,BrM,3088,1,04/09/2009
5,16,897,5_16,23.37066667,12.15533333,1.896666667,1.786666667,1.115734444,3573,EB,1512,SA,26.1,26.1,16.5,,1999,39,1021,04/08/2000,88,ABX,3088,1,15/01/2008
5,17,920,5_17,22.35266667,12.02833333,1.923333333,1.794666667,1.013418395,3589,EB,1596,FL,24.6,24.5,15.1,,2000,39,1026,12/08/2000,89,FL,3089,1,12/08/2000
1,27,888,1_27,23.717,13.77733333,1.907,1.685666667,0.740106898,2428,EB,632,A,25.3,25.3,15.1,,1993,39,1020,03/08/2000,90,BrM,3090,1,03/08/2000
1,31,889,1_31,25.11633333,13.58133333,1.938333333,1.680666667,2.369145858,2452,EB,858,A,24.8,24.8,16.4,,1994,39,1020,03/08/2000,92,BrF,3091,0,03/08/2000
5,15,887,5_15,23.129,12.12633333,1.952,1.799666667,1.059165947,3568,EB,1579,FL,25.1,25.5,15.5,,2000,39,1020,03/08/2000,95,OFL,3093,1,02/08/2008
5,16,893,5_16,22.03833333,11.131,1.954666667,1.803333333,0.848369227,3572,EB,1582,OFL,26.0,26,16.5,,2000,39,1021,04/08/2000,99,OFL,3095,1,04/08/2000
5,15,892,5_15,22.109,11.44666667,1.965,1.790666667,0.792557735,3570,EB,1581,OFL,25.7,25.4,15.6,,2000,39,1021,04/08/2000,99,OFL,3095,1,05/02/2009
1,27,895,1_27,23.70166667,13.502,1.952333333,1.691333333,0.821247881,2429,EB,1527,SA,24.5,24.5,14.4,,1999,39,1021,04/08/2000,101,ABX,3097,0,04/08/2000
5,15,891,5_15,22.747,11.88766667,1.951333333,1.794666667,0.943865333,3569,EB,1580,FL,24.0,24.1,14.1,,2000,39,1021,04/08/2000,101,FL,3097,0,13/08/2015
5,16,913,5_16,22.58633333,11.77366667,1.937333333,1.788666667,0.840545804,3580,EB,1592,FL,24.3,24.2,15.0,,2000,39,1025,11/08/2000,109,FL,3100,0,12/07/2001
5,17,921,5_17,22.779,12.37033333,1.954333333,1.799,1.099136241,3590,EB,1597,OFL,24.5,24.6,14.2,,2000,39,1026,12/08/2000,117,OFL,3105,0,05/07/2004
5,17,922,5_17,23.44133333,12.505,1.918,1.791333333,1.559917386,3591,EB,1598,OFL,24.0,24.1,14.6,,2000,39,1026,12/08/2000,117,OFL,3105,0,13/01/2007
8,7,923,8_7,23.645,16.145,1.91,1.858,1.194342768,1612,EAF,1198,A,,,,,1996,39,1026,12/08/2000,117,BrM,3105,1,12/08/2000
6,21,910,6_21,24.12533333,14.085,1.896,1.791,0.931480916,105,EAF,1429,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
6,10,910,6_10,23.50833333,14.172,1.919666667,1.730666667,1.136299726,12,EAF,1429,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
6,22,910,6_22,24.006,14.05033333,1.891333333,1.770333333,0.95745547,126,EAF,1429,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
6,16,910,6_16,23.44366667,13.52833333,1.878333333,1.788,0.957694337,62,EAF,1429,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
6,15,910,6_15,23.49966667,13.43866667,1.929666667,1.780666667,0.98597341,55,EAF,1429,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
6,14,910,6_14,23.768,14.05033333,1.909333333,1.777666667,0.841082195,48,EAF,1429,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
6,13,910,6_13,24.16766667,15.27666667,1.899666667,1.796,0.641256348,35,EAF,1429,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
