BreedGroupID,BirdID,Status
6205,5583,BrM
856,2730,BrM
858,2741,BrF
862,2751,BrF
865,2749,BrF
868,2860,BrF
869,2733,BrM
870,2738,BrF
873,2737,BrF
876,2740,BrM
877,2746,BrM
878,1899,BrM
881,2766,CH
881,1898,BrF
881,2789,BrM
882,2741,BrF
883,2752,BrM
884,1901,BrF
884,1900,BrM
885,2759,BrF
885,2758,BrM
886,1902,BrF
886,2762,BrM
887,2756,BrM
3284,2750,BrF
888,2782,BrF
888,2858,BrM
889,2860,BrF
889,2754,BrM
890,788,BrF
891,2791,BrF
891,795,BrM
892,1905,BrF
892,1904,BrM
893,796,AB
893,1907,BrF
893,1906,BrM
894,1908,FL
894,2795,BrF
894,2733,BrM
895,2786,BrM
896,794,AB
897,2792,AB
897,1910,AB
897,2738,BrF
897,1909,BrM
898,1912,BrF
898,1911,BrM
899,2763,BrM
901,1686,CH
901,2757,BrF
901,1913,BrM
902,2781,BrM
903,1915,AB
903,1914,BrF
903,1913,BrM
904,1917,BrF
904,1916,BrM
905,2780,CH
905,1919,BrF
905,1918,BrM
906,2767,CH
906,1921,BrF
906,1920,BrM
907,1923,BrF
907,1922,BrM
908,1925,BrF
908,1924,BrM
909,1928,AB
909,1927,BrF
909,1926,BrM
910,2787,AB
910,1929,BrM
910,1930,BrF
911,1931,BrM
912,2783,BrF
912,1932,BrM
913,1936,FL
913,2796,AB
913,1934,AB
913,1935,AB
913,1933,BrF
913,2857,BrM
914,2784,BrM
915,1938,BrF
915,1937,BrM
916,2788,BrF
916,2793,BrM
917,1940,BrF
917,1939,BrM
918,2768,FL
918,2769,FL
918,1942,AB
918,2737,BrF
918,1941,BrM
919,1945,AB
919,1944,BrF
919,1943,BrM
920,1947,BrF
920,1946,BrM
921,1950,AB
921,1949,BrF
921,1948,BrM
922,1952,BrF
922,1951,BrM
923,1955,AB
923,1954,BrF
923,1953,BrM
924,2753,AB
924,1957,AB
924,1956,BrF
924,2752,BrM
925,2771,FL
925,2770,FL
925,1959,BrF
925,1958,BrM
