Island,Year,TerritoryID,TerritoryNumber,TQcorrected,FieldPeriodID,PeriodStart,SummerIndex
CN,1990,1,1,8892.001651,12,22/01/1990,0.705128205
CN,1990,2,1.1,56114.91692,12,22/01/1990,0.705128205
CN,1990,3,2,23302.27096,12,22/01/1990,0.705128205
CN,1990,4,3,22250.65324,12,22/01/1990,0.705128205
CN,1990,7,4,8397.780347,12,22/01/1990,0.705128205
CN,1990,8,5,26029.01863,12,22/01/1990,0.705128205
CN,1990,9,6,23040.65306,12,22/01/1990,0.705128205
CN,1990,10,6.1,22327.25484,12,22/01/1990,0.705128205
CN,1990,12,7,11018.26574,12,22/01/1990,0.705128205
CN,1990,13,8,15266.48336,12,22/01/1990,0.705128205
CN,1990,14,9,25359.77369,12,22/01/1990,0.705128205
CN,1990,15,10,9077.724688,12,22/01/1990,0.705128205
CN,1990,16,11,27581.95721,12,22/01/1990,0.705128205
CN,1990,17,12,9385.519404,12,22/01/1990,0.705128205
CN,1990,18,13,24321.25664,12,22/01/1990,0.705128205
CN,1990,19,14,32422.55082,12,22/01/1990,0.705128205
CN,1990,20,15,34374.47226,12,22/01/1990,0.705128205
CN,1990,22,16,45831.86196,12,22/01/1990,0.705128205
CN,1990,23,17,16452.25912,12,22/01/1990,0.705128205
CN,1990,24,18,27739.82443,12,22/01/1990,0.705128205
CN,1990,25,19,38807.64021,12,22/01/1990,0.705128205
CN,1990,26,20,36605.74167,12,22/01/1990,0.705128205
CN,1990,27,21,23443.04342,12,22/01/1990,0.705128205
CN,1990,28,22,27761.32198,12,22/01/1990,0.705128205
CN,1990,29,22.1,,12,22/01/1990,0.705128205
CN,1990,30,23,28359.59886,12,22/01/1990,0.705128205
CN,1990,32,24,35624.73731,12,22/01/1990,0.705128205
CN,1990,33,25,15638.56221,12,22/01/1990,0.705128205
CN,1990,34,26,44153.59093,12,22/01/1990,0.705128205
CN,1990,37,27,38365.55814,12,22/01/1990,0.705128205
CN,1990,38,28,21899.3299,12,22/01/1990,0.705128205
CN,1990,40,29,17859.88915,12,22/01/1990,0.705128205
CN,1990,41,30,20140.86757,12,22/01/1990,0.705128205
CN,1990,44,31,34008.20134,12,22/01/1990,0.705128205
CN,1990,45,32,22732.48254,12,22/01/1990,0.705128205
CN,1990,47,33,43798.99832,12,22/01/1990,0.705128205
CN,1990,49,34,13227.98937,12,22/01/1990,0.705128205
CN,1990,51,35,33384.18241,12,22/01/1990,0.705128205
CN,1990,52,36,17227.9065,12,22/01/1990,0.705128205
CN,1990,53,37,14071.92426,12,22/01/1990,0.705128205
CN,1990,54,38,17723.9059,12,22/01/1990,0.705128205
CN,1990,55,39,35720.31198,12,22/01/1990,0.705128205
CN,1990,56,40,15649.7685,12,22/01/1990,0.705128205
CN,1990,57,41,9851.515914,12,22/01/1990,0.705128205
CN,1990,59,42,31074.24933,12,22/01/1990,0.705128205
CN,1990,60,43,12816.83411,12,22/01/1990,0.705128205
CN,1990,61,44,34870.6732,12,22/01/1990,0.705128205
CN,1990,62,45,20669.37755,12,22/01/1990,0.705128205
CN,1990,63,46,19210.47777,12,22/01/1990,0.705128205
CN,1990,67,47,13171.06736,12,22/01/1990,0.705128205
CN,1990,69,48,77771.09901,12,22/01/1990,0.705128205
CN,1990,70,49,26849.86888,12,22/01/1990,0.705128205
CN,1990,71,50,102004.5684,12,22/01/1990,0.705128205
CN,1990,73,51,25025.17974,12,22/01/1990,0.705128205
CN,1990,76,52,16463.66017,12,22/01/1990,0.705128205
CN,1990,79,53,8393.798411,12,22/01/1990,0.705128205
CN,1990,81,54,31483.97055,12,22/01/1990,0.705128205
CN,1990,82,55,7768.216663,12,22/01/1990,0.705128205
CN,1990,83,56,8476.223329,12,22/01/1990,0.705128205
CN,1990,84,57,9632.364687,12,22/01/1990,0.705128205
CN,1990,86,58,8680.1505,12,22/01/1990,0.705128205
CN,1990,87,59,3398.17036,12,22/01/1990,0.705128205
CN,1990,89,60,15206.82532,12,22/01/1990,0.705128205
CN,1990,91,61,7373.741463,12,22/01/1990,0.705128205
CN,1990,92,62,6906.771429,12,22/01/1990,0.705128205
CN,1990,94,63,30069.39281,12,22/01/1990,0.705128205
CN,1990,95,64,9823.460332,12,22/01/1990,0.705128205
CN,1990,96,65,14904.97586,12,22/01/1990,0.705128205
CN,1990,98,66,6321.67003,12,22/01/1990,0.705128205
CN,1990,99,67,3989.756348,12,22/01/1990,0.705128205
CN,1990,100,68,4924.552681,12,22/01/1990,0.705128205
CN,1990,101,69,3556.001117,12,22/01/1990,0.705128205
CN,1990,102,70,10120.06359,12,22/01/1990,0.705128205
CN,1990,103,71,14742.57596,12,22/01/1990,0.705128205
CN,1990,104,72,16834.80753,12,22/01/1990,0.705128205
CN,1990,105,73,12053.97767,12,22/01/1990,0.705128205
CN,1990,106,74,15137.88843,12,22/01/1990,0.705128205
CN,1990,108,75,71569.27224,12,22/01/1990,0.705128205
CN,1990,109,76,77442.56341,12,22/01/1990,0.705128205
CN,1990,110,77,58279.86094,12,22/01/1990,0.705128205
CN,1990,112,78,43561.23931,12,22/01/1990,0.705128205
CN,1990,113,79,21406.68454,12,22/01/1990,0.705128205
CN,1990,115,80,39567.40135,12,22/01/1990,0.705128205
CN,1990,116,81,7197.811557,12,22/01/1990,0.705128205
CN,1990,117,82,18974.95197,12,22/01/1990,0.705128205
CN,1990,121,83,41116.14565,12,22/01/1990,0.705128205
CN,1990,123,84,91472.5576,12,22/01/1990,0.705128205
