BirdID,BloodID,Status,TerritoryID,PeriodEnd
792,2360,BrF,73,27/11/1985
44,2659,FL,45,05/12/1986
792,2360,BrF,73,05/12/1986
44,2659,BrM,7,28/01/1988
199,2196,ABX,41,28/01/1988
199,1037,ABX,41,28/01/1988
65,2414,FL,55,28/01/1988
64,2623,FL,63,28/01/1988
51,2214,FL,67,28/01/1988
51,72,FL,67,28/01/1988
792,2360,BrF,73,28/01/1988
44,2659,BrM,7,24/03/1989
220,2289,FL,28,24/03/1989
220,2652,FL,28,24/03/1989
199,2196,AB,41,24/03/1989
199,1037,AB,41,24/03/1989
216,2194,FL,52,24/03/1989
65,2414,BrM,56,24/03/1989
51,2214,AB,67,24/03/1989
51,72,AB,67,24/03/1989
792,2360,BrF,73,24/03/1989
221,2412,FL,76,24/03/1989
221,2851,FL,76,24/03/1989
221,56,FL,76,24/03/1989
221,2193,FL,76,24/03/1989
64,2623,BrF,103,24/03/1989
44,2659,BrM,7,26/11/1989
1859,879,BrF,15,26/11/1989
165,1836,FL,24,26/11/1989
220,2289,AB,28,26/11/1989
220,2652,AB,28,26/11/1989
172,2533,FL,35,26/11/1989
199,2196,BrF,41,26/11/1989
199,1037,BrF,41,26/11/1989
176,2215,BrM,51,26/11/1989
176,2163,BrM,51,26/11/1989
176,1020,BrM,51,26/11/1989
216,2194,BrM,53,26/11/1989
65,2414,BrM,56,26/11/1989
163,2422,BrF,59,26/11/1989
51,2214,AB,67,26/11/1989
51,72,AB,67,26/11/1989
792,2360,BrF,73,26/11/1989
64,2623,BrF,103,26/11/1989
297,2402,AB,115,26/11/1989
329,2526,BrF,115,26/11/1989
208,2543,OFL,160,26/11/1989
208,2543,BrM,161,26/11/1989
216,2194,BrM,2,12/09/1990
44,2659,BrM,7,12/09/1990
823,1050,BrF,13,13/08/2000
823,857,BrF,13,13/08/2000
1268,2602,BrM,13,13/08/2000
1560,966,ABX,13,13/08/2000
1560,855,ABX,13,13/08/2000
1559,3116,ABX,14,13/08/2000
1559,3369,ABX,14,13/08/2000
1559,419,ABX,14,13/08/2000
458,238,BrF,14,13/08/2000
929,1035,BrM,15,13/08/2000
1576,877,OFL,15,13/08/2000
1859,879,BrF,15,13/08/2000
1209,1029,BrM,16,13/08/2000
1409,1030,BrF,16,13/08/2000
1409,240,BrF,16,13/08/2000
1409,2752,BrF,16,13/08/2000
1499,3135,ABX,20,13/08/2000
1499,995,ABX,20,13/08/2000
1499,3908,ABX,20,13/08/2000
1499,639,ABX,20,13/08/2000
1499,3849,ABX,20,13/08/2000
1345,2654,BrF,22,13/08/2000
1020,1121,BrM,23,13/08/2000
1020,2594,BrM,23,13/08/2000
1020,2334,BrM,23,13/08/2000
1247,2593,BrF,23,13/08/2000
1247,1122,BrF,23,13/08/2000
1059,2382,BrF,24,13/08/2000
1059,1006,BrF,24,13/08/2000
1514,776,ABX,24,13/08/2000
1591,912,FL,24,13/08/2000
1591,276,FL,24,13/08/2000
1359,1011,BrM,25,13/08/2000
1359,4441,BrM,25,13/08/2000
1359,521,BrM,25,13/08/2000
1359,2701,BrM,25,13/08/2000
1359,521,BrM,25,13/08/2000
1359,521,BrM,25,13/08/2000
1421,720,BrF,25,13/08/2000
