BirdID,LayYear,SexEstimate,MinOfAgeclass,MinOfOccasionID,MinOfOccasionDate
8,1996,,SA,664,06/03/1997
10,1996,,SA,664,06/03/1997
11,1996,,SA,664,06/03/1997
13,1996,,J,666,13/03/1997
24,1983,1,J,42,23/09/1983
28,1983,1,FL,45,15/11/1983
34,1984,0,J,54,06/04/1984
35,1984,,FL,60,13/07/1984
41,1984,,FL,66,16/03/1985
43,1986,1,CH,98,05/10/1986
45,1986,,CH,102,29/01/1987
46,1986,,CH,103,02/02/1987
47,1986,,CH,103,02/02/1987
48,1986,,CH,106,15/03/1987
49,1986,,CH,104,07/02/1987
50,1986,,CH,105,14/02/1987
52,1986,,CH,108,19/03/1987
53,1986,,CH,109,26/03/1987
54,1986,1,CH,110,28/03/1987
55,1986,,CH,110,28/03/1987
56,1987,,CH,111,05/04/1987
57,1987,,CH,112,08/04/1987
58,1987,,CH,113,09/04/1987
59,1987,,CH,114,12/04/1987
60,1987,,CH,115,25/04/1987
61,1987,0,CH,118,03/05/1987
62,1987,,CH,119,05/05/1987
63,1987,,CH,120,12/05/1987
66,1987,,CH,122,06/09/1987
67,1987,1,CH,122,06/09/1987
68,1987,1,CH,123,07/09/1987
70,1987,,CH,125,11/09/1987
71,1987,0,CH,125,11/09/1987
72,1987,,CH,126,18/09/1987
73,1987,1,CH,127,21/09/1987
74,1987,0,CH,128,23/09/1987
76,1987,,CH,130,26/09/1987
77,1987,1,CH,130,26/09/1987
79,1987,0,CH,132,04/10/1987
80,1987,,CH,133,19/10/1987
81,1987,,CH,134,25/10/1987
82,1987,0,CH,135,27/10/1987
83,1987,,CH,136,30/10/1987
84,1987,,CH,137,31/10/1987
85,1987,,CH,139,05/11/1987
86,1987,,CH,140,22/11/1987
87,1987,,CH,142,02/12/1987
88,1987,,CH,143,04/12/1987
89,1987,,CH,143,04/12/1987
90,1987,,CH,144,06/12/1987
96,1986,,J,77,29/05/1986
97,1986,1,J,78,03/06/1986
98,1986,1,CH,79,10/06/1986
99,1986,0,J,80,11/06/1986
100,1986,,CH,81,08/08/1986
101,1986,,CH,81,08/08/1986
102,1986,,CH,82,15/08/1986
103,1986,,CH,82,15/08/1986
104,1986,,CH,83,20/08/1986
105,1986,,CH,84,23/08/1986
106,1986,,CH,94,26/09/1986
107,1986,,CH,95,27/09/1986
108,1986,,CH,89,16/09/1986
110,1986,,CH,86,07/09/1986
111,1986,,CH,87,08/09/1986
112,1986,,CH,88,10/09/1986
113,1988,0,CH,167,29/10/1988
114,1988,0,CH,167,29/10/1988
116,1988,1,CH,170,10/12/1988
117,1989,0,CH,172,24/01/1989
118,1989,0,CH,172,24/01/1989
120,1989,0,CH,172,24/01/1989
121,1989,,CH,174,06/02/1989
123,1989,1,CH,175,23/02/1989
124,1989,1,CH,175,23/02/1989
126,1989,0,CH,180,13/03/1989
127,1989,1,CH,180,13/03/1989
128,1989,,CH,187,09/04/1989
129,1989,1,CH,188,20/04/1989
133,1989,,CH,193,18/07/1989
134,1989,,CH,194,23/07/1989
135,1989,0,CH,194,23/07/1989
136,1989,,CH,196,18/08/1989
137,1989,1,CH,205,20/09/1989
138,1989,,CH,205,20/09/1989
139,1989,,CH,197,30/08/1989
140,1989,1,CH,207,27/10/1989
141,1989,1,CH,208,10/11/1989
142,1989,0,CH,208,10/11/1989
143,1989,,CH,211,24/11/1989
144,1989,0,CH,209,17/11/1989
145,1990,1,CH,217,23/01/1990
146,1990,1,CH,215,20/01/1990
148,1990,0,CH,225,08/02/1990
149,1990,0,CH,225,08/02/1990
150,1989,1,CH,190,01/06/1989
151,1990,,CH,231,25/02/1990
152,1990,1,CH,231,25/02/1990
153,1990,1,CH,232,26/02/1990
154,1990,,CH,233,02/03/1990
156,1990,0,CH,235,08/03/1990
158,1990,,CH,237,12/03/1990
160,1988,0,J,181,16/03/1989
161,1988,,CH,176,27/02/1989
162,1988,,CH,185,21/03/1989
164,1989,,CH,201,12/09/1989
166,1989,0,J,239,19/03/1990
167,1988,0,SA,239,19/03/1990
173,1989,1,CH,223,01/02/1990
175,1989,0,CH,220,24/01/1990
177,1989,,CH,218,23/01/1990
179,1990,0,CH,245,16/05/1990
180,1990,0,CH,246,25/05/1990
181,1990,1,CH,247,17/06/1990
183,1990,0,CH,253,02/07/1990
186,1989,0,CH,210,23/11/1989
187,1989,,CH,210,23/11/1989
188,1989,,CH,206,12/10/1989
190,1989,,CH,204,15/09/1989
191,1989,0,CH,203,14/09/1989
192,1989,,CH,202,13/09/1989
194,1989,,CH,202,13/09/1989
195,1989,,CH,201,12/09/1989
196,1989,,CH,201,12/09/1989
197,1989,,CH,200,11/09/1989
198,1989,,CH,200,11/09/1989
201,1989,,CH,198,09/09/1989
202,1989,0,CH,191,11/07/1989
203,1988,0,J,184,20/03/1989
205,1988,1,CH,177,04/03/1989
206,1988,,CH,166,04/10/1988
207,1988,0,CH,168,02/12/1988
209,1988,1,CH,178,07/03/1989
211,1987,,CH,145,20/12/1987
212,1987,,CH,150,28/01/1988
213,1988,0,CH,151,16/07/1988
214,1988,1,CH,152,20/07/1988
218,1988,,CH,155,13/08/1988
219,1988,1,CH,156,21/08/1988
237,1988,0,J,161,26/09/1988
238,1988,0,CH,162,27/09/1988
250,1988,,CH,164,29/09/1988
252,1990,,CH,261,24/08/1990
253,1990,1,CH,255,17/07/1990
255,1990,0,CH,257,03/08/1990
256,1990,0,CH,257,03/08/1990
257,1990,1,CH,254,08/07/1990
259,1990,0,CH,260,24/08/1990
260,1990,,CH,1012,01/01/2000
261,1990,,CH,262,02/09/1990
262,1990,0,CH,265,24/09/1990
264,1990,,CH,266,25/09/1990
265,1990,,CH,267,25/11/1990
266,1990,,CH,267,25/11/1990
267,1990,,CH,268,19/12/1990
268,1990,0,CH,269,21/12/1990
269,1990,1,CH,269,21/12/1990
270,1990,,CH,269,21/12/1990
271,1991,,CH,270,30/12/1990
272,1991,,CH,272,14/02/1991
273,1991,,CH,272,14/02/1991
275,1991,,CH,274,19/02/1991
