BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,OccasionDate,OccasionID,LayYear,BodyMass,TerritoryID,FieldPeriodID,Status,BreedGroupID,MaxOfMaxOfSeenDate,SexEstimate
2659,4635.611984,44,A,26.5,26.7,04/07/1998,815,1986,16.4,5,25,BrM,191,16/09/1998,1
2214,630.8428455,51,A,,25.3,21/06/1995,467,1986,15.6,49,19,BrM,2104,01/08/2003,1
2214,555.7066598,51,A,,25.3,21/06/1995,467,1986,15.6,49,19,BrM,2104,01/08/2003,1
2583,10883.56056,51,A,25.9,25.6,24/07/1997,712,1986,15.6,51,22,BrM,43,01/08/2003,1
72,2869.54549,51,A,26.0,,18/06/2003,1135,1986,15.9,51,30,BrM,481,01/08/2003,1
2623,3671.745462,64,A,24.5,24.4,12/02/1998,784,1987,14.1,103,23,BrF,164,12/02/1998,0
2414,7715.181806,65,A,25.9,25.9,26/07/1997,717,1987,18.6,56,22,BrM,48,12/03/1998,1
2422,6960.138241,163,A,24.2,24.2,28/07/1997,722,1987,14.8,59,22,ABX,50,12/09/1998,0
2422,3399.699352,163,A,24.2,24.2,28/07/1997,722,1987,14.8,59,22,ABX,50,12/09/1998,0
1836,4395.595338,165,A,26.9,,01/05/1996,541,1989,17.0,301,49,BrM,3551,22/01/1998,1
2533,2506.99868,172,A,25.0,25.1,05/07/1997,670,1989,15.4,24,22,BrF,2302,14/08/1997,0
2215,5634.864281,176,A,,26.1,21/06/1995,467,1988,16.5,63,19,BrM,2115,12/06/2003,1
2215,1573.443812,176,A,,26.1,21/06/1995,467,1988,16.5,63,19,BrM,2115,12/06/2003,1
2163,1584.757294,176,A,,25.8,27/05/1995,422,1988,15.5,63,19,BrM,2115,12/06/2003,1
1020,3772.652414,176,A,26.0,,26/07/2002,1059,1988,17.5,63,41,BrM,813,12/06/2003,1
2196,2222.318793,199,A,,23.3,11/06/1995,448,1986,14.5,41,19,BrF,2101,03/01/2004,0
2196,1627.061875,199,A,,23.3,11/06/1995,448,1986,14.5,41,19,BrF,2101,03/01/2004,0
1037,3763.202291,199,A,22.9,,02/08/2002,1070,1986,17.0,42,41,BrF,799,03/01/2004,0
2543,4262.090896,208,A,26.0,25.9,13/07/1997,690,1988,16.3,162,22,BrM,109,05/03/1998,1
2194,7764.839059,216,A,,26,10/06/1995,446,1988,17.0,53,19,BrM,2107,02/12/1999,1
2501,8769.74711,216,A,27.0,26.7,06/07/1997,677,1988,17.5,52,22,BrM,44,02/12/1999,1
2289,1514.240031,220,A,,26.7,06/06/1995,439,1988,15.1,26,19,BrM,3314,04/07/2001,1
2652,10968.82857,220,A,26.0,25.9,23/03/1998,807,1988,15.0,26,23,BrM,132,04/07/2001,1
2652,3639.950605,220,A,26.0,25.9,23/03/1998,807,1988,15.0,26,23,BrM,132,04/07/2001,1
2193,9225.615405,221,A,,26.9,09/06/1995,444,1988,16.9,45,19,BrM,1,20/11/2005,1
2412,5122.612161,221,A,28.1,27.8,26/07/1997,716,1988,16.9,45,22,BrM,39,20/11/2005,1
56,5652.338559,221,A,27.8,,10/06/2003,1126,1988,16.0,45,30,BrM,475,20/11/2005,1
2851,6858.582969,221,A,27.9,,20/11/2005,1752,1988,16.0,42,54,BrM,6337,20/11/2005,1
2402,4015.945462,297,A,,23.5,29/06/1996,559,1988,15.2,115,21,H,2267,05/07/2001,0
2526,8879.895189,329,A,24.6,24.1,11/07/1997,685,1988,14.1,115,22,BrF,85,02/12/1999,0
2565,7212.186725,441,A,25.4,25.1,20/07/1997,701,1992,15.6,38,22,BrF,35,08/01/2007,0
403,7829.947921,441,A,25.0,,09/08/2004,1447,1992,15.3,38,34,BrF,588,08/01/2007,0
2190,22480.44337,442,A,,24.1,09/06/1995,444,1992,14.3,41,19,H,2101,03/01/2004,0
2491,5673.98091,449,A,25.6,25.5,06/07/1997,677,,15.4,52,22,BrF,44,06/12/1999,0
699,1068.919068,450,A,23.7,23.4,18/01/1999,887,1992,15.5,84,26,BrF,2444,02/12/1999,0
728,6046.713797,450,A,23.1,22.7,30/04/1999,906,1992,14.5,84,27,BrF,334,02/12/1999,0
117,5410.470711,453,A,26.3,,09/07/2003,1159,1992,,69,30,BrM,496,17/02/2010,1
3217,6106.165923,453,A,26.7,,24/08/2006,1934,1992,16.5,69,75,BrM,3811,17/02/2010,1
4321,506.333404,453,A,26.3,,14/07/2009,2456,1992,16.1,69,92,BrM,4746,17/02/2010,1
1124,3108.581828,454,A,24.2,,12/09/2002,1107,1992,14.5,45,41,BrF,801,01/01/2004,0
2423,8274.754774,455,A,23.9,23.9,29/07/1997,723,1992,15.2,48,22,BrF,41,14/08/1997,0
2407,13852.74649,458,A,25.4,25.3,26/07/1997,715,1992,13.2,14,22,BrF,22,13/08/2005,0
