BirdID,NestID,ChickNr,HatchDate,FledgeDate,FateChick,DateCollection,Remarks
117,1325,1,25/01/1989,,F,,
118,1325,2,25/01/1989,,F,,
119,1328,1,25/01/1989,,F,,
121,1332,1,08/02/1989,,F,,
122,1316,1,08/02/1989,,F,,
123,1335,1,22/02/1989,,F,,
124,1335,2,22/02/1989,,F,,
125,1231,3,,,F,,
126,1232,1,26/06/1989,,F,,
127,1233,1,15/03/1989,,F,,
129,1329,1,,,F,,
130,1317,1,24/05/1989,,F,,
131,1326,1,19/07/1989,,F,,
132,1326,2,17/07/1989,,F,,
133,1333,1,19/07/1989,,F,,
134,1330,2,26/07/1989,,F,,
135,1330,1,26/07/1989,,F,,
136,1318,1,16/08/1989,,F,,
137,1321,2,20/09/1989,,F,,
138,1321,1,20/09/1989,,F,,
139,1334,1,30/08/1989,,F,,
140,1331,1,25/10/1989,,F,,
141,1327,1,08/11/1989,,F,,
142,1327,2,08/11/1989,,F,,
143,1319,1,22/11/1989,,F,,
144,1320,1,15/11/1989,,F,,
145,1342,1,24/01/1990,,F,,
146,1342,2,24/01/1990,,F,,
147,1345,1,24/01/1990,,F,,
148,1340,2,07/02/1990,,F,,
149,1340,1,07/02/1990,,F,,
150,1336,1,26/07/1989,,F,,
151,1362,2,28/02/1990,,F,,
152,1362,1,28/02/1990,,F,,
153,1337,1,28/02/1990,,F,,
154,1350,1,28/02/1990,,F,,
155,1364,1,07/03/1990,,F,,
156,1357,2,07/03/1990,,F,,
157,1357,1,07/03/1990,,F,,
158,1351,1,14/03/1990,,F,,
159,1354,1,07/02/1990,,F,,
179,1346,1,16/05/1990,,F,,
180,1360,1,23/05/1990,,F,,
181,1358,1,20/06/1990,,F,,
182,1343,1,27/06/1990,,F,,
183,1355,1,04/07/1990,,F,,
3578,1161,1,,,F,,
253,1349,2,18/07/1990,,F,,
254,1349,1,18/07/1990,,F,,
255,1353,1,08/08/1990,,F,,
256,1353,2,08/08/1990,,F,,
257,1363,1,11/07/1990,,F,,
258,1338,1,22/08/1990,,F,,
259,1347,1,29/08/1990,,F,,
260,1347,2,29/08/1990,,F,,
261,1359,1,05/09/1990,,F,,
262,1344,1,26/09/1990,,F,,
263,1356,2,26/09/1990,,F,,
264,1356,1,26/09/1990,,F,,
265,1352,2,17/10/1990,,F,,
266,1352,1,17/10/1990,,F,,
267,1348,1,19/12/1990,,F,,
268,1361,1,19/12/1990,,F,,
269,1341,1,19/12/1990,,F,,
270,1339,1,19/12/1990,,F,,
271,1382,1,02/01/1991,,F,,
273,1248,2,13/02/1991,,F,,
274,1379,1,13/02/1991,,F,,
275,1368,1,20/02/1991,,F,,
277,1388,1,06/03/1991,,F,,
278,1383,1,06/03/1991,,F,,
279,1373,2,15/05/1991,,F,,
280,1369,1,10/04/1991,,F,,
281,1373,1,15/05/1991,,F,,
282,1386,1,10/04/1991,,F,,
284,1375,1,05/06/1991,,F,,
285,1377,1,03/07/1991,,F,,
286,1370,1,03/07/1991,,F,,
287,1370,2,03/07/1991,,F,,
288,1384,1,17/07/1991,,F,,
289,1387,2,31/07/1991,,F,,
290,1387,1,31/07/1991,,F,,
291,1389,1,31/07/1991,,F,,
292,1365,1,13/03/1991,,F,,
2998,1186,1,17/07/2004,31-Jul-04,F,,
335,738,,,,F,,ringed by Etienne
336,1371,2,02/10/1991,,F,,
337,1371,1,02/10/1991,,F,,
338,1366,1,02/10/1991,,F,,
339,1380,1,02/10/1991,,F,,
340,1380,2,02/10/1991,,F,,
341,1385,1,02/10/1991,,F,,
342,1367,1,23/10/1991,,F,,
343,1374,1,06/11/1991,,F,,
345,1372,1,25/12/1991,,F,,
346,1397,1,01/01/1992,,F,,
347,1397,4,01/01/1992,,F,,
348,1394,2,08/01/1992,,F,,
349,1391,1,08/01/1992,,F,,
350,1395,1,15/01/1992,,F,,
351,1393,2,26/02/1992,,F,,
352,1393,1,26/02/1992,,F,,
353,1396,1,26/02/1992,,F,,
354,1394,1,08/01/1992,,F,,
355,1397,2,01/01/1992,,F,,
356,1397,3,01/01/1992,,F,,
357,1381,1,23/10/1991,,F,,
358,1392,1,15/07/1992,,F,,
359,1398,1,05/08/1992,,F,,
3096,1189,1,30/09/2004,,U,,might have been chick from T3? Was birdID=480
3013,978,1,,,U,,wrongly entered as BirdID=385 fate unknown!
709,1376,2,14/08/1991,,F,,
1363,332,1,10/08/1998,,F,,
1361,266,1,20/08/1998,,F,,
3011,994,1,16/08/2004,,F,,
3419,40,1,01/05/1997,,F,,UR(=BNYX?); wrongly=1169 (BrM adult 1st rung July)
1170,123,1,01/05/1997,,F,,
1179,106,1,01/05/1997,,F,,
1181,121,1,,,F,,
3418,43,1,,,F,,UR(=GEYX?)
1208,127,1,18/07/1997,08-Aug-97,F,,dead in storm 17/8
1209,120,1,17/07/1997,03-Aug-97,F,,
1213,44,1,27/07/1997,15-Aug-97,F,,
1215,12,1,24/07/1997,,F,,
1221,33,1,,,F,,
1222,133,1,15/11/1997,,F,,
1223,151,1,20/12/1997,09-Jan-98,F,,
1227,260,1,15/11/1997,26-Dec-97,F,,
1229,209,1,22/12/1997,10-Jan-98,F,,
1231,124,1,16/08/1997,,F,,8-10 days old on 25/8
1234,85,1,20/07/1997,07-Aug-97,F,,
1236,3,1,01/08/1997,,D,,Died in storm 17/8/97
1245,334,1,15/12/1997,03-Jan-98,F,,
1248,136,1,15/11/1997,,F,,
1268,329,1,18/01/1998,07-Feb-98,F,,
1270,158,1,15/11/1997,,F,,
1275,235,1,15/11/1997,,F,,
1277,233,1,15/11/1997,,F,,
1278,256,1,15/11/1997,,F,,
1287,207,1,15/11/1997,26-Dec-97,F,,
1288,310,1,28/01/1998,17-Feb-98,F,,
1289,301,1,15/11/1997,,F,,
1290,291,1,15/11/1997,,F,,
1291,311,1,15/11/1997,,F,,
1292,315,1,01/11/1997,,F,,
1293,280,1,01/02/1998,21-Feb-98,F,,
1294,268,1,06/02/1998,27-Feb-98,F,,
1296,313,1,15/11/1997,,F,,
1300,145,1,15/11/1997,,F,,
1302,312,1,15/11/1997,,F,,
1305,153,1,15/11/1997,,F,,
1306,249,1,15/11/1997,,F,,
1346,263,1,15/11/1997,,F,,
1348,348,1,17/07/1998,04-Aug-98,F,,
1349,254,1,,04-Aug-98,F,,"Feed watch, obs of fe ch on 4/8, no fl seen (OH)"
1359,204,1,01/08/1998,19-Aug-98,F,,
1362,216,1,,,F,,
1364,269,1,21/08/1998,,F,,
1365,245,1,20/08/1998,09-Sep-98,F,,
1366,265,1,25/08/1998,11-Sep-98,F,,
1384,196,1,03/08/1998,21-Aug-98,F,,
1385,223,1,29/07/1998,16-Aug-98,F,,
1387,227,1,10/08/1998,30-Aug-98,F,,
1388,224,1,,,F,,
1390,157,1,10/08/1998,23-Aug-98,F,,
1393,173,1,07/08/1998,,F,,
1394,275,1,08/08/1998,30-Aug-98,F,,
1396,242,1,23/08/1998,13-Sep-98,F,,
1397,210,1,28/08/1998,17-Sep-98,F,,
1398,351,1,02/09/1998,20-Sep-98,F,,
1400,342,1,,10-Sep-98,F,,
1402,255,1,30/08/1998,17-Sep-98,F,,
1406,307,1,09/09/1998,,F,, chick still in nest 27/9
1407,237,1,,,F,,
1408,324,1,26/08/1998,15-Sep-98,F,,
1409,171,1,,11-Sep-98,F,,
1411,194,1,07/09/1998,,F,,
1413,135,1,08/09/1998,,F,,
1415,3049,1,21/08/1998,09-Sep-98,F,,
1417,200,1,22/09/1998,,F,,Y--X
1418,363,2,,,F,,
1419,363,1,,,F,,
1420,426,1,,,F,,
1421,390,1,,,F,,
1422,557,1,,,F,,
1423,451,1,10/04/1999,,D,,"died, deformed wing"
1424,562,1,,,F,,
1425,532,1,,04-Apr-99,F,,
1426,502,1,,,F,,
1427,515,1,,,G,,
1428,382,1,14/01/1999,02-Feb-99,F,,
1429,578,1,12/01/1999,31-Jan-99,F,,
-1,432,1,,,F,,
1431,466,1,,10-Feb-99,F,,
3295,475,1,,,F,,wrongly entered as 1432 (SA 28/01/99)
1433,361,1,,28-Apr-99,F,,
1434,482,1,,,F,,
1435,495,1,,04-Jul-99,F,,
1436,383,1,,16-Jul-99,F,,
1438,381,1,,21-Jul-99,F,,
1440,377,1,18/07/1999,07-Aug-99,F,,
1441,573,1,13/07/1999,01-Aug-99,F,,
1487,546,1,20/07/1999,08-Aug-99,F,,
1488,491,1,19/07/1999,08-Aug-99,F,,
1490,489,1,,,F,,
1491,411,1,,,F,,
1492,371,1,,,F,,
1493,481,1,26/07/1999,15-Aug-99,F,,
1494,579,1,28/07/1999,19-Aug-99,F,,
1495,464,1,05/08/1999,28-Aug-99,F,,
1497,590,1,,,F,, fl independent and helping
1498,369,1,31/07/1999,20-Aug-99,F,,
1499,539,1,12/08/1999,02-Sep-99,F,,
1502,373,1,24/08/1999,09-Sep-99,F,,
1504,437,1,,,F,,
1505,409,1,21/08/1999,11-Sep-99,F,,
1506,464,2,05/08/1999,28-Aug-99,F,,
1507,379,1,,,F,,
1508,519,1,,,F,,UR(=LBSX)
1509,402,1,,,F,,
1510,394,1,,,F,,
1511,387,1,,,F,,"UR(=GGSX), BiD 1511?"
1512,508,1,03/08/1999,23-Aug-99,F,,
1513,478,1,,23-Aug-99,F,,
1514,396,1,,16-Jul-99,F,,
1515,420,1,,,F,,
1516,511,1,15/08/1999,06-Sep-99,F,,
1518,566,1,,,F,,
1519,365,1,20/08/1999,,F,,"chick fell out of nest 5/9,  VOSX"
1520,401,1,28/08/1999,14-Sep-99,F,,
1521,439,1,22/08/1999,10-Sep-99,F,,
1523,454,1,,,F,,
1524,588,2,31/08/1999,20-Sep-99,F,,
1525,430,1,31/08/1999,18-Sep-99,F,,
